metric,value
n_triples,3078
n_entities,4070
n_subjects_unique,1328
n_objects_unique,2886
n_predicates_unique,769
pred_count_是,332
pred_count_使用,138
pred_count_包括,125
pred_count_允许,87
pred_count_用于,85
pred_count_由,78
pred_count_通过,69
pred_count_在,58
pred_count_需要,56
pred_count_提供,55
pred_count_包含,48
pred_count_指,43
pred_count_采用,42
pred_count_称为,41
pred_count_使得,40
head_count_TCP,70
head_count_UDP,45
head_count_分组交换,38
head_count_以太网,36
head_count_PPP协议,36
head_count_互联网,35
head_count_SNMP,31
head_count_MPLS,29
head_count_DHCP客户,25
head_count_TFTP,25
