triple_id	subject	predicate	object	source_file	source_row
0	路由器	在收到数据报后	把TTL的值减1	IPv6	0
1	ICMP	用于	发送时间超过差错报告报文	IPv6	1
2	IP数据报	当	TTL值变为零时被丢弃	IPv6	2
3	tracert命令	用于	获得目的主机的路由信息	IPv6	3
4	IP数据报	经过的	路由器越多，花费的时间可能越长	IPv6	4
5	互联网	因	拥塞程度随时变化导致经过更多路由器可能花费更短的时间	IPv6	5
6	协议IP	是	互联网的核心协议	IPv6	6
7	IPv4	设计于	20世纪70年代末期	IPv6	7
8	IANA	在	2011年2月3日停止向地区互联网注册机构RIR分配IPv4地址	IPv6	8
9	我国	在	2014年至2015年逐步停止向新用户和应用分配IPv4地址	IPv6	9
10	解决IP地址耗尽的根本措施	是	采用IPv6	IPv6	10
11	IPv6	发布正式标准于	2017年7月	IPv6	11
12	IPv6	将地址从IPv4的32位增大到	128位	IPv6	12
13	IPv6	支持	无连接的传送	IPv6	13
14	IPv6	定义了	可选的扩展首部	IPv6	14
15	IPv6	允许	数据报包含有选项的控制信息	IPv6	15
16	IPv6	支持	即插即用（自动配置）	IPv6	16
17	IPv6	支持	资源的预分配	IPv6	17
18	IPv6首部	改为	8字节对齐	IPv6	18
19	IPv6	取消了	首部长度字段	IPv6	19
20	IPv6	取消了	服务类型字段	IPv6	20
21	IPv6	取消了	总长度字段	IPv6	21
22	IPv6	取消了	标识、标志和片偏移字段	IPv6	22
23	IPv6	把TTL字段改称为	跳数限制字段	IPv6	23
24	IPv6	取消了	协议字段	IPv6	24
25	IPv6	取消了	检验和字段	IPv6	25
26	IPv6	取消了	选项字段	IPv6	26
27	IPv6基本首部	包含	8个字段	IPv6	27
28	IPv6	使用	冒号十六进制记法	IPv6	28
29	IPv6	允许	零压缩	IPv6	29
30	IPv6	地址空间大于	3.4x10^38	IPv6	30
31	IPv6	取消了	子网掩码	IPv6	31
32	IPv6地址	使用	CIDR的斜线表示法	IPv6	32
33	未指明地址	是	16字节的全0地址	IPv6	33
34	环回地址	在IPv6中是	0:0:0:0:0:0:0:1	IPv6	34
35	多播地址	占IPv6地址总数的	1/256	IPv6	35
36	本地站点单播地址	占IPv6地址总数的	1/1024	IPv6	36
37	本地链路单播地址	占IPv6地址总数的	1/1024	IPv6	37
38	全球单播地址	是IPv6中使用最多的一类地址		IPv6	38
39	从IPv4向IPv6过渡	采用	逐步演进的办法	IPv6	39
40	双协议栈	指	在完全过渡到IPv6之前，使一部分主机（或路由器）同时装有IPv4和IPv6这两种协议栈	IPv6	40
41	隧道技术	用于	在IPv6数据报要进入IPv4网络时，把IPv6数据报封装成为IPv4数据报	IPv6	41
42	ICMPv6	合并了	ARP和IGMP的功能	IPv6	42
43	ICMPv6	是	面向报文的协议	IPv6	43
44	路由选择协议	规定了	互联网中有关的路由器应如何相互交换信息并生成出路由表	IPv6	44
45	理想的路由算法	应具有	正确性和完整性	IPv6	45
46	理想的路由算法	应具有	计算简单性	IPv6	46
47	理想的路由算法	应具有	自适应性	IPv6	47
48	理想的路由算法	应具有	稳定性	IPv6	48
49	理想的路由算法	应具有	公平性	IPv6	49
50	理想的路由算法	应具有	最佳性	IPv6	50
51	IP多播	由	Steve Deering首次在其博士学位论文中提出	IP多播	0
52	IP多播	在	1992年3月IETF会议声音的多播中首次试验	IP多播	1
53	IP多播	已成为	互联网的一个热门课题	IP多播	2
54	IP多播	需要	在互联网上增加更多的智能才能提供的一种服务	IP多播	3
55	IP多播	支持	一对多的通信	IP多播	4
56	多播	可	大大节约网络资源	IP多播	5
57	多播路由器	必须	增加一些能够识别多播数据报的软件	IP多播	6
58	多播路由器	可以	转发普通的单播IP数据报	IP多播	7
59	虚拟多播主干网MBONE	可	把分组传播给地点分散但属于一个组的许多台主机	IP多播	8
60	IP多播	使用	多播IP地址	IP多播	9
61	多播数据报	使用	D类IP地址作为目的地址	IP多播	10
62	D类IP地址	范围是	224.0.0.0到239.255.255.255	IP多播	11
63	多播数据报	不保证	一定能够交付多播组内的所有成员	IP多播	12
64	多播地址	只能用于	目的地址	IP多播	13
65	多播数据报	不产生	ICMP差错报文	IP多播	14
66	IP多播	可以分为	只在本局域网网上进行硬件多播和在互联网的范围进行多播	IP多播	15
67	局域网上的硬件多播	是	互联网上进行多播的最后阶段	IP多播	16
68	以太网地址	由	互联网号码指派管理局IANA拥有	IP多播	17
69	以太网MAC地址	如果	第1字节的最低位为1时即为多播地址	IP多播	18
70	IP多播	需要	网际组管理协议IGMP和多播路由选择协议	IP多播	19
71	IGMP	让	连接在本地局域网上的多播路由器知道本局域网上是否有主机参加或退出了某个多播组	IP多播	20
72	多播路由器	需要	和互联网上的其他多播路由器协同工作	IP多播	21
73	IGMP	分为	三个版本	IP多播	22
74	IGMPv1	公布于	1989年	IP多播	23
75	IGMPv3	公布于	2002年10月	IP多播	24
76	IGMP	使用	IP数据报传递其报文	IP多播	25
77	IGMP	属于	整个网际协议IP的一个组成部分	IP多播	26
78	多播路由器	不需要	保留组成员关系的准确记录	IP多播	27
79	多播数据报	可以由	没有加入多播组的主机发出	IP多播	28
80	多播数据报	可以	通过没有组成员接入的网络	IP多播	29
81	多播路由选择协议	尚未	标准化	IP多播	30
82	多播转发树	要找出	以源主机为根节点的多播转发树	IP多播	31
83	多播转发树	在	每一个多播路由器向树的叶节点方向转发收到的多播数据报	IP多播	32
84	多播转发树	不会	收到重复的多播数据报	IP多播	33
85	多播路由选择	要	找出以源主机为根节点的多播转发树	IP多播	34
86	洪泛与剪除	适合于	较小的多播组	IP多播	35
87	反向路径广播RPB	要点是	每一个路由器在收到一个多播数据报时，先检查数据报是否是从源点经最短路径传送来的	IP多播	36
88	隧道技术	适用于	多播组的位置在地理上很分散的情况	IP多播	37
89	基于核心的发现技术	适合于	多播组的大小在较大范围内变化时	IP多播	38
90	VPN	用于	解决IP地址的紧缺问题	IP多播	39
91	NAT	用于	解决IP地址的紧缺问题	IP多播	40
92	IP数据报首部的可变部分	是	选项字段	IP层转发分组的过程	0
93	选项字段	用来支持	排错、测量以及安全等措施	IP层转发分组的过程	1
94	选项字段长度	可变	从1字节到40字节不等	IP层转发分组的过程	2
95	IP数据报首部长度	成为	可变的	IP层转发分组的过程	3
96	IP数据报	增加	首部的可变部分	IP层转发分组的过程	4
97	路由器	处理	IP数据报的开销增加	IP层转发分组的过程	5
98	IPv6	把	IP数据报的首部长度做成固定的	IP层转发分组的过程	6
99	分组转发	基于	分组首部中的目的地址	IP层转发分组的过程	7
100	路由器	根据	分组中的目的地址查找转发表	IP层转发分组的过程	8
101	转发表	不按	目的IP地址直接查出下一跳路由器	IP层转发分组的过程	9
102	IP地址	由	前缀和主机号两级组成	IP层转发分组的过程	10
103	查找目的主机	变为	查找目的网络	IP层转发分组的过程	11
104	网络数	远小于	主机数	IP层转发分组的过程	12
105	转发表	压缩	通过查找目的网络而非直接查找目的主机	IP层转发分组的过程	13
106	路由器	送交	待转发的分组至数据链路层的网络接口软件	IP层转发分组的过程	14
107	网络接口软件	负责	将下一跳路由器的IP地址转换成MAC地址	IP层转发分组的过程	15
108	ARP	用于	解析MAC地址	IP层转发分组的过程	16
109	MAC地址	放在	链路层的MAC帧的首部	IP层转发分组的过程	17
110	MAC帧	通过	链路层传送到下一跳路由器	IP层转发分组的过程	18
111	转发表	不使用	MAC地址	IP层转发分组的过程	19
112	IP地址	用于	隐蔽底层网络的复杂性	IP层转发分组的过程	20
113	最长前缀匹配	是	路由聚合的原则	IP层转发分组的过程	21
114	CIDR	导致	转发表查找过程复杂化	IP层转发分组的过程	22
115	二叉线索	用于	快速查找转发表	IP层转发分组的过程	23
116	二叉线索	是一种	层次的数据结构	IP层转发分组的过程	24
117	IP地址	决定	从根节点逐层向下层延伸的路径	IP层转发分组的过程	25
118	叶节点	代表	唯一前缀	IP层转发分组的过程	26
119	二叉线索	包含	网络前缀和子网掩码	IP层转发分组的过程	27
120	查找转发表	需要	与子网掩码进行逻辑AND运算	IP层转发分组的过程	28
121	主机路由	又叫	特定主机路由	IP层转发分组的过程	29
122	默认路由	表示为	0.0.0.0/0	IP层转发分组的过程	30
123	分组转发算法	包括	最长前缀匹配原则	IP层转发分组的过程	31
124	P2P应用	是	具有P2P体系结构的网络应用	P2P应用	0
125	P2P体系结构	定义为	没有固定服务器的网络应用，绝大多数交互使用对等方式进行	P2P应用	1
126	P2P应用范围	包括	文件分发、实时音频或视频会议、数据库系统、网络服务支持	P2P应用	2
127	P2P文件分发	不需要	使用集中式媒体服务器	P2P应用	3
128	P2P工作方式	占据	互联网流量中最大的份额	P2P应用	4
129	P2P文件分发	传送	音频文件MP3、视频文件、各种软件和图像文件	P2P应用	5
130	Napster	是	最早使用P2P工作方式的软件	P2P应用	6
131	Napster	能够	搜索音乐文件并提供检索功能	P2P应用	7
132	Napster目录服务器	存储	所有音乐文件的索引信息	P2P应用	8
133	Napster用户	必须	向Napster目录服务器报告自己已经存有哪些音乐文件	P2P应用	9
134	Napster	通过	用户信息建立起一个动态数据库	P2P应用	10
135	Napster用户	下载	MP3文件的过程是P2P方式	P2P应用	11
136	Napster	因	侵犯唱片公司版权被法院判决属于间接侵害版权	P2P应用	12
137	Gnutella	是	采用全分布方法定位内容的P2P文件共享应用程序	P2P应用	13
138	Gnutella	不使用	集中式目录服务器进行查询	P2P应用	14
139	Gnutella查询	使用	洪泛法在大量Gnutella用户之间进行查询	P2P应用	15
140	BitTorrent	是	2001年由Brahm Cohen开发的P2P文件分发应用	P2P应用	16
141	BitTorrent	把	参与文件分发的所有对等方的集合称为一个洪流	P2P应用	17
142	BitTorrent文件块	长度	固定不变，例如典型的数值是256KB	P2P应用	18
143	BitTorrent对等方	可以	在获得整个文件后退出洪流	P2P应用	19
144	BitTorrent协议	包含	复杂的机制	P2P应用	20
145	BitTorrent洪流	拥有	一个基础设施节点称为追踪器	P2P应用	21
146	追踪器	负责	跟踪洪流中的对等方	P2P应用	22
147	BitTorrent相邻对等方	定义为	与新对等方建立了TCP连接的对等方	P2P应用	23
148	BitTorrent对等方	通过	TCP连接周期性地向其相邻对等方索取文件块列表	P2P应用	24
149	BitTorrent最稀有的优先技术	用于	请求副本最少的文件块	P2P应用	25
150	BitTorrent	采用	一种算法优先向数据传输速率最高的相邻对等方发送文件块	P2P应用	26
151	P2P文件分发	涉及	主机从服务器下载大文件	P2P应用	27
