subject	predicate	object	source_row
IP多播	由	Steve Deering首次在其博士学位论文中提出	0
IP多播	在	1992年3月IETF会议声音的多播中首次试验	1
IP多播	已成为	互联网的一个热门课题	2
IP多播	需要	在互联网上增加更多的智能才能提供的一种服务	3
IP多播	支持	一对多的通信	4
多播	可	大大节约网络资源	5
多播路由器	必须	增加一些能够识别多播数据报的软件	6
多播路由器	可以	转发普通的单播IP数据报	7
虚拟多播主干网MBONE	可	把分组传播给地点分散但属于一个组的许多台主机	8
IP多播	使用	多播IP地址	9
多播数据报	使用	D类IP地址作为目的地址	10
D类IP地址	范围是	224.0.0.0到239.255.255.255	11
多播数据报	不保证	一定能够交付多播组内的所有成员	12
多播地址	只能用于	目的地址	13
多播数据报	不产生	ICMP差错报文	14
IP多播	可以分为	只在本局域网网上进行硬件多播和在互联网的范围进行多播	15
局域网上的硬件多播	是	互联网上进行多播的最后阶段	16
以太网地址	由	互联网号码指派管理局IANA拥有	17
以太网MAC地址	如果	第1字节的最低位为1时即为多播地址	18
IP多播	需要	网际组管理协议IGMP和多播路由选择协议	19
IGMP	让	连接在本地局域网上的多播路由器知道本局域网上是否有主机参加或退出了某个多播组	20
多播路由器	需要	和互联网上的其他多播路由器协同工作	21
IGMP	分为	三个版本	22
IGMPv1	公布于	1989年	23
IGMPv3	公布于	2002年10月	24
IGMP	使用	IP数据报传递其报文	25
IGMP	属于	整个网际协议IP的一个组成部分	26
多播路由器	不需要	保留组成员关系的准确记录	27
多播数据报	可以由	没有加入多播组的主机发出	28
多播数据报	可以	通过没有组成员接入的网络	29
多播路由选择协议	尚未	标准化	30
多播转发树	要找出	以源主机为根节点的多播转发树	31
多播转发树	在	每一个多播路由器向树的叶节点方向转发收到的多播数据报	32
多播转发树	不会	收到重复的多播数据报	33
多播路由选择	要	找出以源主机为根节点的多播转发树	34
洪泛与剪除	适合于	较小的多播组	35
反向路径广播RPB	要点是	每一个路由器在收到一个多播数据报时，先检查数据报是否是从源点经最短路径传送来的	36
隧道技术	适用于	多播组的位置在地理上很分散的情况	37
基于核心的发现技术	适合于	多播组的大小在较大范围内变化时	38
VPN	用于	解决IP地址的紧缺问题	39
NAT	用于	解决IP地址的紧缺问题	40
