subject	predicate	object	source_row
IP数据报首部的可变部分	是	选项字段	0
选项字段	用来支持	排错、测量以及安全等措施	1
选项字段长度	可变	从1字节到40字节不等	2
IP数据报首部长度	成为	可变的	3
IP数据报	增加	首部的可变部分	4
路由器	处理	IP数据报的开销增加	5
IPv6	把	IP数据报的首部长度做成固定的	6
分组转发	基于	分组首部中的目的地址	7
路由器	根据	分组中的目的地址查找转发表	8
转发表	不按	目的IP地址直接查出下一跳路由器	9
IP地址	由	前缀和主机号两级组成	10
查找目的主机	变为	查找目的网络	11
网络数	远小于	主机数	12
转发表	压缩	通过查找目的网络而非直接查找目的主机	13
路由器	送交	待转发的分组至数据链路层的网络接口软件	14
网络接口软件	负责	将下一跳路由器的IP地址转换成MAC地址	15
ARP	用于	解析MAC地址	16
MAC地址	放在	链路层的MAC帧的首部	17
MAC帧	通过	链路层传送到下一跳路由器	18
转发表	不使用	MAC地址	19
IP地址	用于	隐蔽底层网络的复杂性	20
最长前缀匹配	是	路由聚合的原则	21
CIDR	导致	转发表查找过程复杂化	22
二叉线索	用于	快速查找转发表	23
二叉线索	是一种	层次的数据结构	24
IP地址	决定	从根节点逐层向下层延伸的路径	25
叶节点	代表	唯一前缀	26
二叉线索	包含	网络前缀和子网掩码	27
查找转发表	需要	与子网掩码进行逻辑AND运算	28
主机路由	又叫	特定主机路由	29
默认路由	表示为	0.0.0.0/0	30
分组转发算法	包括	最长前缀匹配原则	31
