subject	predicate	object	source_row
P2P应用	是	具有P2P体系结构的网络应用	0
P2P体系结构	定义为	没有固定服务器的网络应用，绝大多数交互使用对等方式进行	1
P2P应用范围	包括	文件分发、实时音频或视频会议、数据库系统、网络服务支持	2
P2P文件分发	不需要	使用集中式媒体服务器	3
P2P工作方式	占据	互联网流量中最大的份额	4
P2P文件分发	传送	音频文件MP3、视频文件、各种软件和图像文件	5
Napster	是	最早使用P2P工作方式的软件	6
Napster	能够	搜索音乐文件并提供检索功能	7
Napster目录服务器	存储	所有音乐文件的索引信息	8
Napster用户	必须	向Napster目录服务器报告自己已经存有哪些音乐文件	9
Napster	通过	用户信息建立起一个动态数据库	10
Napster用户	下载	MP3文件的过程是P2P方式	11
Napster	因	侵犯唱片公司版权被法院判决属于间接侵害版权	12
Gnutella	是	采用全分布方法定位内容的P2P文件共享应用程序	13
Gnutella	不使用	集中式目录服务器进行查询	14
Gnutella查询	使用	洪泛法在大量Gnutella用户之间进行查询	15
BitTorrent	是	2001年由Brahm Cohen开发的P2P文件分发应用	16
BitTorrent	把	参与文件分发的所有对等方的集合称为一个洪流	17
BitTorrent文件块	长度	固定不变，例如典型的数值是256KB	18
BitTorrent对等方	可以	在获得整个文件后退出洪流	19
BitTorrent协议	包含	复杂的机制	20
BitTorrent洪流	拥有	一个基础设施节点称为追踪器	21
追踪器	负责	跟踪洪流中的对等方	22
BitTorrent相邻对等方	定义为	与新对等方建立了TCP连接的对等方	23
BitTorrent对等方	通过	TCP连接周期性地向其相邻对等方索取文件块列表	24
BitTorrent最稀有的优先技术	用于	请求副本最少的文件块	25
BitTorrent	采用	一种算法优先向数据传输速率最高的相邻对等方发送文件块	26
P2P文件分发	涉及	主机从服务器下载大文件	27
P2P文件分发时间	取决于	主机向对等方传送文件的具体方式	28
P2P文件分发	至少需要	服务器将文件的每一个比特传送到互联网	29
P2P文件分发	可以	由其他主机代替服务器向其他对等方分发文件	30
P2P文件分发时间	不可能小于	下载速率最慢的主机下载文件的时间	31
P2P文件分发	涉及	所有主机的上传速率之和	32
P2P文件分发	需要	考虑对等方的上传速率和下载速率	33
P2P文件分发	可以	通过增加指针表加速查找	34
Chord算法	是	美国麻省理工大学于2001年提出的分布式散列表DHT算法	35
DHT	利用	散列函数把资源名及其存放的节点IP地址映射为标识符	36
Chord环	由	大量对等方共同维护的散列表	37
Chord环节点	维护	两个指针变量指向其后继节点和前任节点	38
Chord环	通过	增加指针表加速查找资源	39
P2P技术	面临	音频/视频文件的知识产权问题	40
P2P文件共享程序	导致	非法盗版或不健康音频/视频文件在互联网上广泛传播	41
P2P文件共享程序	消耗	互联网主干网上大部分的带宽	42
P2P技术	需要	制定合理的收费标准	43
应用层协议	规定	应用进程在通信时所遵循的规则	44
应用层协议	基于	客户服务器方式	45
域名系统DNS	是	互联网使用的命名系统	46
DNS	采用	客户服务器方式	47
域名解析	由	分布在互联网上的许多域名服务器程序共同完成	48
互联网	采用	层次树状结构的命名方法	49
域名服务器	分为	根域名服务器、顶级域名服务器、权限域名服务器和本地域名服务器	50
文件传送协议FTP	使用	TCP可靠的运输服务	51
FTP	在	进行文件传输时需要建立两个并行的TCP连接	52
