subject	predicate	object	source_row
TCP	通过	窗口扩大选项协商窗口大小	0
窗口扩大选项	占用	3字节	1
移位值S	允许使用的最大值	14	2
窗口最大值	增大到	2^30 - 1	3
时间戳选项	占用	10字节	4
时间戳选项	包含	时间戳值字段和时间戳回送回答字段	5
时间戳选项	用来	计算往返时间RTT	6
PAWS	称为	防止序号绕回	7
TCP报文段序号	只有	32位	8
选择确认选项	将在	5.6.3节介绍	9
滑动窗口	以字节为单位	描述TCP可靠传输	10
发送窗口	表示	在没有收到确认的情况下可以连续发送的数据范围	11
发送窗口	受到	接收方窗口大小的限制	12
发送窗口后沿	表示	已发送且已收到确认的数据	13
发送窗口前沿	表示	不允许发送的数据	14
发送窗口前沿	可能	向后收缩当对方通知的窗口缩小了	15
发送窗口	需要	三个指针P1、P2和P3来描述其状态	16
接收窗口	表示	允许接收的数据范围	17
接收窗口	受到	接收方缓存大小的限制	18
TCP	要求	接收方必须有累积确认的功能	19
TCP通信	是	全双工通信	20
超时重传时间RTO	应略大于	加权平均往返时间RTTs	21
RTTs	通过	加权平均算法计算	22
RTTo	是	RTT的偏差的加权平均值	23
Karn算法	提出	在计算加权平均RTT时不采用重传报文段的往返时间样本	24
选择确认SACK	允许	只传送缺少的数据而不重传已经正确到达接收方的数据	25
SACK	需要	在TCP首部的选项中加上允许SACK的选项	26
SACK选项	占用	最多40字节	27
SACK	报告	收到的不连续的字节块的边界	28
TCP首部	没有字段提供	字节块边界信息	29
确认号字段	在SACK中	用法不变	30
TCP	要求	接收方对按序收到的数据中的最高序号给出确认	31
发送方	必须	控制写入缓存的速率	32
接收方	可以	在合适的时候发送确认	33
TCP标准	规定	确认推迟的时间不应超过0.5秒	34
接收方	如果收到	一连串具有最大长度的报文段则必须每隔一个报文段就发送一个确认	35
发送窗口前沿	可能	不动如果收到了新的确认但对方通知的窗口大小不变	36
发送窗口后沿	不可能	向后移动	37
发送窗口	受到	网络拥塞程度的制约	38
发送窗口	可以	根据网络拥塞情况适当减小发送窗口数值	39
TCP首部选项	包括	允许SACK的选项	42
SACK	允许	报告多个不连续的字节块边界	43
