subject	predicate	object	source_row
连续ARQ协议	规定	发送方每收到一个确认，就把发送窗口向前滑动一个分组的位置	0
接收方	采用	累积确认的方式	1
累积确认	优点是	容易实现，即使确认丢失也不必重传	2
累积确认	缺点是	不能向发送方及时反映接收方已经正确收到所有分组的信息	3
Go-back-N	表示	需要再退回来重传已发送过的N个分组	4
TCP	传送的数据单元是	报文段	5
TCP报文段	分为	首部和数据两部分	6
TCP首部	最小长度是	20字节	7
TCP首部固定部分	包括	源端口号和目的端口号	8
TCP	通过	端口实现分用功能	9
序号	占	4字节	10
序号范围	是	[0, 2^32 - 1]	11
TCP	面向	字节流	12
TCP连接中传送的字节流	每	一个字节都按顺序编号	13
序号字段值	指的是	本报文段所发送的数据的第三个字节的序号	14
确认号	占	4字节	15
确认号	是	期望收到对方下一个报文段的第一个数据字节的序号	16
数据偏移	占	4位	17
数据偏移	指出	TCP报文段的数据起始处距离TCP报文段的起始处有多远	18
保留	占	6位	19
紧急URG	当置为1时	表明紧急指针字段有效	20
确认ACK	仅当置为1时	确认号字段才有效	21
推送PSH	当置为1时	表明发送方TCP把PSH置1，并立即创建一个报文段发送出去	22
复位RST	当置为1时	表明TCP连接中出现严重差错，必须释放连接	23
同步SYN	在连接建立时用来	同步序号	24
终止FIN	当置为1时	表明此报文段的发送方的数据已发送完毕，并要求释放运输连接	25
窗口	占	2字节	26
窗口值	是	[0, 2^16 - 1]之间的整数	27
窗口	指的是	发送本报文段的一方的接收窗口	28
检验和	占	2字节	29
检验和字段检验的范围包括		首部和数据两部分	30
紧急指针	占	2字节	31
选项	长度可变	最长可达40字节	32
最大报文段长度MSS	是	每一个TCP报文段中的数据字段的最大长度	33
窗口扩大选项	占	3字节	34
时间戳选项	占	10字节	35
时间戳选项	用于	计算往返时间RTT和处理TCP序号超过2^32的情况	36
选择确认选项	用于	处理TCP序号超过2^32的情况	37
