subject	predicate	object	source_row
TCP	通过	发送方积累足够大的报文段进行数据传输	0
拥塞控制	定义为	防止过多的数据注入到网络中，使网络中的路由器或链路不至过载	1
网络拥塞	发生当	对网络中某一资源的需求超过了该资源所能提供的可用部分	2
网络性能	变坏如果	网络中许多资源同时呈现供应不足	3
网络拥塞	可能由	节点缓存容量太小导致分组被丢弃引起	4
网络拥塞	可能由	处理机处理速率太低引起	5
网络拥塞	导致	重传，从而加剧网络拥塞	6
拥塞控制	与	流量控制关系密切	7
流量控制	是	端到端的问题，接收端控制发送端	8
拥塞控制	是	全局性的过程，涉及所有主机和路由器	9
TCP连接端点	无法知道	拥塞发生在网络的何处及其具体原因	10
拥塞控制算法	向	发送端发送控制报文，告诉发送端网络已出现麻烦	11
拥塞控制	需要	获得网络内部流量分布的信息	12
拥塞控制	需要	在节点之间交换信息和各种命令	13
拥塞控制	可能导致	网络资源不能更好地实现共享	14
拥塞控制	需要	全面衡量得失	15
理想的拥塞控制	使	网络吞吐量维持在所能达到的最大值	16
实际网络	可能	在吞吐量还未达到饱和时已有一部分输入分组被丢弃	17
网络	进入	轻度拥塞状态当吞吐量明显小于理想吞吐量	18
网络	进入	拥塞状态当提供的负载达到某一数值	19
网络	可能	因提供的负载继续增大到某一数值而无法工作，即死锁	20
寻找拥塞控制方案	是	寻找使不等式不再成立条件的过程	21
开环控制	是	在设计网络时事先将发生拥塞的有关因素考虑周到	22
闭环控制	基于	反馈环路的概念	23
闭环控制	包括	监测网络系统以便检测到拥塞在何时、何处发生	24
闭环控制	包括	把拥塞发生信息传送到可采取行动的地方	25
闭环控制	包括	调整网络系统运行以解决出现的问题	26
监测网络拥塞	使用	因缺少缓存空间而被丢弃的分组的百分比等指标	27
拥塞控制	可能导致	系统产生不稳定的震荡	28
TCP	进行	拥塞控制的算法包括慢开始、拥塞避免、快重传和快恢复	29
慢开始算法	规定	在每收到一个对新报文段的确认后，可把拥塞窗口增加最多一个SMSS的数值	30
拥塞避免算法	规定	每经过一个往返时间RTT，发送方的拥塞窗口cwnd的大小就加1	31
快重传算法	要求	接收方不要等待自己发送数据时才进行捎带确认	32
快恢复算法	规定	发送方收到三个重复的确认后不启动慢开始，而是执行快恢复	33
AIMD算法	指	加法增大和乘法减小的拥塞控制方法	34
主动队列管理AQM	是	在队列长度达到某个值得警惕的数值时就主动丢弃到达的分组	35
RED	是	随机早期检测的算法	36
TCP运输连接	用于	传送TCP报文	37
TCP	是	面向连接的协议	38
TCP连接的建立和释放	涉及	运输连接管理	39
接收方窗口	又称为	通知窗口	40
发送方窗口	由	接收方窗口rwnd和拥塞窗口cwnd中较小的一个决定	41
全局同步	导致	许多TCP连接同时进入到慢开始状态	42
尾部丢弃策略	称为	FIFO（先进先出）	43
路由器	可能	因尾部丢弃而导致一连串分组的丢失	44
