subject	predicate	object	source_row
TCP	实现	流量控制	0
流量控制	定义为	让发送方的发送速率不要太快，要让接收方来得及接收	1
滑动窗口机制	用于	实现TCP连接上的流量控制	2
TCP窗口	单位是	字节	3
TCP	在	连接建立时进行窗口协商	4
接收方	通过	发送窗口值来控制发送方的发送窗口	5
发送方	不能超过	接收方给出的接收窗口数值	6
接收方	进行	三次流量控制	7
流量控制	包括	把窗口减小到rwnd=300，再减到rwnd=100，最后减到rwnd=0	8
TCP	规定	即使设置为零窗口，也必须接收特定的报文段	9
持续计时器	用于	解决TCP接收方发送零窗口后出现的死锁局面	10
持续计时器	发送	零窗口探测报文段	11
Nagle算法	用于	控制TCP发送报文段的时机	12
Nagle算法	规定	当到达的数据已达到发送窗口大小的一半或已达到报文段的最大长度时，就立即发送一个报文段	13
糊涂窗口综合征	导致	TCP的性能变坏	14
糊涂窗口综合征	解决方法	让接收方等待一段时间，使得或者接收缓存已有足够空间容纳一个最长的报文段，或者等到接收缓存已有一半空闲的空间	15
拥塞控制	定义为	防止过多的数据注入到网络中，使网络中的路由器或链路不至过载	16
拥塞控制	是一个	全局性的过程	17
拥塞	导致	重传，从而加剧网络的拥塞	18
拥塞控制	与	流量控制关系密切	19
流量控制	是	端到端的问题	20
TCP	通过	推送操作支持发送方的应用进程指明要求发送报文段	21
TCP	使用	最大报文段长度MSS	22
TCP	使用	计时器控制发送报文段的时机	23
交互式用户	使用	TELNET连接	24
TCP	要求	适当延迟发回确认报文，并尽量使用捎带确认的方法	25
发送方	不要	发送太小的报文段	26
接收方	不要	在缓存刚刚有了一点小的空间就急忙把这个很小的窗口大小信息通知给发送方	27
TCP	涉及	所有的主机、所有的路由器，以及与降低网络传输性能有关的所有因素	28
TCP	无法知道	拥塞到底发生在网络的何处，也无法知道发生拥塞的具体原因	29
拥塞控制	要	网络能够承受现有的网络负荷	30
拥塞	往往是由	很多因素引起的	31
网络拥塞	造成	网络资源的严重浪费	32
处理机处理速率	可能	引起网络的拥塞	33
TCP	要求	所有的部分都平衡了，问题才会得到解决	34
拥塞引起的重传	不会	缓解网络的拥塞，反而会加剧网络的拥塞	35
TCP	要求	发送方暂停发送的状态将持续到主机B重新发出一个新的窗口值为止	36
TCP	要求	发送方收到对第一个数据字符的确认后再发送下一个报文段	37
TCP	要求	数据到达较快而网络速率较慢时，用Nagle算法减少所用的网络带宽	38
TCP	要求	发送方也不要发送太小的报文段，而是把数据积累成足够大的报文段	39
TCP	要求	接收方在缓存刚刚有了一点小的空间时不要急忙把这个很小的窗口大小信息通知给发送方	40
