subject	predicate	object	source_row
入侵检测方法	可以分为	基于特征的入侵检测和基于异常的入侵检测	0
基于特征的IDS	维护	所有已知攻击标志性特征的数据库	1
基于特征的IDS	只能检测	已知攻击	2
基于异常的IDS	通过	观察正常运行的网络流量学习正常流量的统计特性和规律	3
基于异常的IDS	认为可能发生了入侵行为当	检测到网络中流量的某种统计规律不符合正常情况	4
入侵检测系统	存在	漏报和误报情况	5
误报率	会导致	大量虚假警报	6
网络安全	包括	机密性、端点鉴别、信息的完整性、运行的安全性	7
椭圆曲线密码ECC	已在	TLS 1.3的握手协议中占据非常重要的地位	8
椭圆曲线密码系统	大量使用在	电子护照和金融系统	9
移动安全	应对	移动通信带来的广泛应用	10
量子密码	使得	目前许多使用中的密码技术无效	11
后量子密码学	是	方兴未艾的研究领域	12
标识密码	把	用户的标识作为公钥	13
标识密码	使得	安全系统变得易于部署和管理	14
商密九号算法SM9	是	标识密码算法	15
商密九号算法SM9	不需要	申请数字证书	16
商密九号算法SM9	适用于	互联网应用的各种新兴应用的安全保障	17
