subject	predicate	object	source_row
加密密钥	可以	与解密密钥不一样	0
密钥	通常由	密钥中心提供	1
密钥	需要通过	另一个安全信道传送	2
密码编码学	是	密码体制的设计学	3
密码分析学	是	在未知密钥的情况下从密文推演出明文或密钥的技术	4
密码学	是	密码编码学与密码分析学的合称	5
无条件安全的密码体制	称为	理论上不可破的	6
计算上安全的密码体制	是指	不能在一定时间内被可以使用的计算资源破译	7
通信保密的思想和方法	早在	几千年前人类就已经有了	8
香农	论证了	一般经典加密方法得到的密文几乎都是可破的	9
DES	成为	美国的数据加密标准	10
DES	由	IBM公司研制出	11
DES	是	分组密码	12
DES加密	使用	64位长的二进制数据	13
DES密钥	占有	64位（实际密钥长度为56位，外加8位用于奇偶校验）	14
DES的机密性	取决于	对密钥的保密	15
DES的问题	是	它的密钥长度	16
三重DES	提出	解决56位密钥的问题	17
AES	成为	美国政府加密标准	18
AES	是	分组密码，分组长度为128位	19
AES	有	三种加密标准，密钥分别为128位、192位和256位	20
公钥密码体制	由	斯坦福大学的研究人员Diffie与Hellman于1976年提出	21
公钥密码体制	又称为	非对称密钥密码体制	22
公钥密码体制的产生	主要由于	对称密钥密码体制的密钥分配问题和对数字签名的需求	23
RSA体制	由	Rivest, Shamir和Adleman于1976年提出	24
公钥密码体制	使用	不同的加密密钥与解密密钥	25
加密密钥PK	是	向公众公开的	26
解密密钥SK	是	需要保密的	27
公钥密码体制	特点包括	密钥对产生器产生出接收者B的一对密钥	28
发送者A	用	B的公钥PKB通过E运算对明文X加密	29
B	用	自己的私钥SKB通过D运算进行解密	30
公钥密码体制	特点包括	从已知的PKB实际上不可能推导出SKB	31
公钥	可以	用来加密	32
公钥	不能	用来解密	33
公钥密码体制	特点包括	先后对X进行D运算和E运算或进行E运算和D运算结果都是一样的	34
公钥密码体制	允许	多对一的单向保密通信	35
任何加密方法的安全性	取决于	密钥的长度和攻破密文所需的计算量	36
公钥加密算法	特点是	开销较大	37
AES	由	Joan Daemen和Vincent Rijmen提交的Rijndael算法被选中	38
NIST	进行	高级加密标准的遴选	39
NSA	认为	对最高机密信息的传递至少需要192或256位的密钥长度	40
DES	被	ISO作为数据加密标准	41
AES	在	2002年成为ISO/IEC 18033-3标准	42
AES	在	2001年正式成为NIST的加密标准	43
AES	在	2002年成为美国政府加密标准	44
公钥密码体制	允许	很多人同时持有B的公钥并各自用此公钥对自己的报文加密后发送给B	45
DES	被	美国在1977年定为联邦信息标准	46
AES	被认为	要破解可能需要在数学上出现非常重大的突破	47
AES	到	2020年5月为止尚未见到能够成功破解的报道	48
