subject	predicate	object	source_row
第8章	讨论	互联网提供的音频/视频服务	0
流式音频/视频	涉及	媒体服务器	1
流式音频/视频	涉及	实时流式协议RTSP	2
交互式音频/视频	以	IP电话为例	3
IP电话	使用	实时运输协议RTP	4
IP电话	使用	实时传送控制协议RTCP	5
IP电话	使用	H.323	6
IP电话	使用	会话发起协议SIP	7
本章内容	包括	多媒体信息的特点	8
本章内容	包括	流媒体概念	9
本章内容	包括	IP电话使用的几种协议	10
本章内容	包括	改进“尽最大努力交付”服务的方法	11
互联网	最初为	传送数据设计	12
互联网IP层	提供	“尽最大努力交付”服务	13
TCP协议	解决	IP层不能提供可靠交付的问题	14
多媒体信息	与	数据信息有很大区别	15
多媒体信息	特点包括	信息量大	16
多媒体信息	常称为	流媒体	17
电话声音信息	采用	标准的PCM编码	18
高质量立体声音乐CD信息	使用	PCM编码	19
多媒体业务	应有	集成性、交互性和同步性的特点	20
集成性	指	对多媒体信息进行存储、传输、处理、显示的能力	21
交互性	指	人与多媒体业务系统之间的相互控制能力	22
同步性	指	多媒体业务终端上显示的图像、声音和文字以同步方式上一个	23
互联网	用于传送	音频/视频信息	24
电路交换的公用电话网	传送	话音和多媒体信息	25
电路交换的公用电话网	缺点是	价格太高	26
互联网	替代	公用电话网传送多媒体信息	27
改进服务	包括	综合服务IntServ	28
改进服务	包括	资源预留协议RSVP	29
改进服务	包括	区分服务DiffServ	30
互联网服务质量	提高	通过综合服务IntServ	31
互联网服务质量	提高	通过资源预留协议RSVP	32
互联网服务质量	提高	通过区分服务DiffServ	33
多媒体信息	需要	同步传输	34
多媒体信息	需要	交互控制	35
多媒体信息	需要	时延和时延抖动控制	36
流媒体	指	流式音频/视频	37
流媒体	特点为	边下载边播放	38
IP电话	是	交互式音频/视频通信的一种	39
H.323	用于	视频会议	40
SIP	用于	会话发起	41
RTCP	用于	实时传送控制	42
RTP	用于	实时运输	43
互联网	提供	多媒体信息服务	44
互联网	使用	TCP协议解决可靠交付问题	45
