subject	predicate	object	source_row
数字证书	包含	签名算法	0
数字证书	包含	签发者的唯一标识符	1
数字证书	包含	有效期	2
数字证书	包含	主体名	3
数字证书	包含	公钥	4
X.509	提出	多级认证中心链接构成树状认证系统	5
X.509	规定	根认证中心为公认可信的认证中心	6
信任链	表示	链上的认证机构都是可信的	7
证书链	对应	信任链	8
根CA	给	中间CA签发中间证书	9
中间CA2	给	用户签发用户证书	10
根证书	是	自签名的	11
CA	应有一个	公布于众的证书撤销名单	12
IPsec	提供	IP层的互联网通信安全	13
IPsec	包含	AH协议和ESP协议	14
AH协议	提供	源点鉴别和数据完整性	15
ESP协议	提供	源点鉴别、数据完整性和保密	16
IP安全数据报	可以在	两台主机之间发送	17
IP安全数据报	可以在	两个路由器之间发送	18
IP安全数据报	可以在	一台主机和一个路由器之间发送	19
安全关联SA	是	网络层的逻辑连接	20
安全关联SA	提供	安全服务	21
IPsec	支持	IPv4和IPv6	22
IPsec	要求	所有实现都必须包含推荐的加密算法	23
ESP协议	包含	ESP尾部	24
ESP尾部	包含	填充字段	25
ESP尾部	包含	填充长度	26
ESP尾部	包含	下一个首部	27
IP安全数据报	包含	IP首部	28
IP首部	包含	协议字段	29
安全参数索引SPI	用于	标识安全关联SA	30
TLS	提供	安全的运输层协议	31
TLS	用于	网上购物等安全服务	32
TLS	保证	报文内容的数据完整性	33
TLS	保证	通信内容的机密性	34
TLS	提供	身份鉴别	35
SSL	由	Netscapte公司开发	36
TLS	基于	SSL 3.0	37
TLS	提供	安全的HTTP服务	38
HTTPS	表示	使用TLS协议的HTTP	39
HTTPS	使用	TCP的443端口	40
HTTP	使用	TCP的80端口	41
TLS	包含	握手协议	42
TLS	包含	记录协议	43
TLS	使用	主密钥MS	44
PGP	提供	电子邮件的安全性	45
PGP	提供	发送方鉴别	46
PGP	提供	报文完整性	47
PGP	使用	加密、鉴别、电子签名和压缩技术	48
OpenPGP	是	PGP的公开互联网标准	49
防火墙	作为	访问控制技术	50
防火墙	安装在	网点和网络的其余部分之间	51
防火墙	实施	访问控制策略	52
入侵检测系统IDS	作为	系统防御的第二道防线	53
IDS	检测	疑似入侵行为的网络活动	54
