subject	predicate	object	source_row
互联网草案	是	互联网标准制定的第一阶段	0
互联网草案	具有	六个月的有效期	1
建议标准	是	互联网标准制定的第二阶段	2
建议标准	开始	成为RFC文档	3
互联网标准	是	互联网标准制定的第三阶段	4
互联网标准	分配	标准编号STDxx	5
草案标准	已取消	互联网标准制定过程中的一个阶段	6
RFC文档	包括	建议标准和互联网标准	7
RFC文档	还包括	历史的、实验的和提供信息的文档	8
历史的RFC文档	可能被	后来的规约所取代	9
实验的RFC文档	表示	工作处于正在实验的情况	10
提供信息的RFC文档	包括	与互联网有关的一般、历史或指导的信息	11
RFC索引文件	便于	查找RFC文档	12
RFC索引文件	给出	所有RFC文档的标题和发表时间	13
互联网	由	边缘部分和核心部分组成	14
互联网边缘部分	由	所有连接在互联网上的主机组成	15
互联网核心部分	由	大量网络和连接这些网络的路由器组成	16
端系统	又称为	边缘部分的主机	17
端系统	可以是	个人电脑、智能手机或网络摄像头	18
端系统	也可以是	大型服务器	19
客户-服务器方式	是	互联网上最常用的通信方式	20
客户	是	服务请求方	21
服务器	是	服务提供方	22
对等连接方式	指	两台主机在通信时不区分服务请求方和提供方	23
路由器	是	实现分组交换的关键构件	24
电路交换	需要	先建立连接	25
电路交换	保证	通信双方占用端到端的通信资源	26
分组交换	采用	存储转发技术	27
分组交换	使得	数据传输效率更高	28
分组交换	具有	动态分配传输带宽的特点	29
分组交换	适用于	突发式的计算机数据传输	30
分组交换	通过	路由器中的转发表动态维护路由信息	31
分组交换	使得	网络具有很好的生存性	32
分组交换	需要	专门的管理和控制机制	33
我国第一个公用分组交换网CNPAC	建成于	1989年11月	34
我国	于	1994年4月20日正式连入互联网	35
局域网	对	各行各业的管理现代化和办公自动化起到积极作用	36
电路交换	适合	话音通信	37
分组交换	适合	数据通信	38
蜂窝移动通信网	采用	分组交换	39
报文交换	已不使用	电报通信	40
电路交换	允许	两个用户在通话时占用端到端的通信资源	41
分组交换	通过	路由器之间的链路逐段占用通信资源	42
互联网核心部分	由	高速链路构成的主干线路	43
分组交换	提高了	通信线路的利用率	44
分组交换	减少了	建立连接和释放连接的开销	45
分组交换	使得	数据传输更加灵活和迅速	46
分组交换	通过	路由器的缓存和转发表实现分组的存储和转发	47
互联网协议	保证了	数据传输的高可靠性	48
路由器	在	网络中承担分组交换的任务	49
路由器	通过	转发表中的路由信息进行分组转发	50
路由器	必须	经常交换路由信息以维护路由表	51
电路交换	不适合	突发式数据通信	52
分组交换	适合	计算机数据通信	53
分组交换	可能导致	分组在路由器中排队时产生时延	54
分组交换	可能	无法确保通信时端到端所需的带宽	55
分组交换	需要	控制信息来包含地址和路由选择信息	56
分组交换	通过	网状拓扑结构提高网络的可靠性	57
电路交换	适用于	长时间连续通信的场景	58
分组交换	适用于	需要灵活分配带宽的场景	59
分组交换	使得	网络资源得到更有效的利用	60
分组交换	通过	动态路由选择提高了网络的生存性	61
互联网	由	边缘部分的主机和核心部分的路由器组成	62
路由器	在	互联网核心部分中起到关键作用	63
路由器	通过	分组交换实现数据的高效传输	64
分组交换	使得	数据传输更加迅速和可靠	65
分组交换	通过	路由器的缓存和转发提高传输效率	66
分组交换	需要	路由器中的转发表来确定分组的转发路径	67
分组交换	使得	网络中的资源得到动态分配	68
分组交换	通过	路由器的缓存减少传输时延	69
分组交换	使得	网络资源得到更合理的分配	70
分组交换	通过	路由器的转发表实现路径选择	71
分组交换	使得	网络中的带宽得到更高效的利用	72
分组交换	通过	路由器的缓存和转发提高数据传输的灵活性	73
分组交换	使得	网络中的通信更加迅速和可靠	74
分组交换	通过	路由器的缓存和转发减少数据传输的时延	75
分组交换	使得	网络中的资源得到更合理的利用	76
分组交换	通过	路由器的转发表实现数据的快速转发	77
分组交换	使得	网络中的带宽得到更高效的分配	78
分组交换	通过	路由器的缓存减少数据传输的延迟	79
