subject	predicate	object	source_row
动态主机配置协议DHCP	是	一种网络层控制层面的内容	0
DHCP	提供	即插即用连网机制	1
DHCP	允许	计算机加入新的网络和获取IP地址而不用手工参与	2
DHCP	适用于	运行客户软件和服务器软件的计算机	3
DHCP	给	运行服务器软件而位置固定的计算机指派一个永久地址	4
DHCP	使用	客户服务器方式	5
DHCP客户	发送	发现报文DHCPDISCOVER	6
DHCP服务器	返回	提供报文DHCPOFFER	7
DHCP中继代理	通常是一个	路由器	8
DHCP服务器	分配给	DHCP客户临时的IP地址	9
DHCP协议	称分配的IP地址使用时间为	租用期	10
DHCP客户	设置	两个计时器T1和T2	11
DHCP	允许	计算机动态获取网络配置	12
DHCP	使得	网络配置自动化和集中管理	13
DHCP	允许	计算机在租用期满后重新申请IP地址	14
DHCP	允许	计算机提前终止服务器所提供的租用期	15
多协议标签交换MPLS	是	一种新的协议	16
MPLS	利用	面向连接技术	17
MPLS	使	每个分组携带一个标签	18
MPLS	采用	硬件技术对打上标签的IP数据报进行转发	19
MPLS	支持	多种链路层协议	20
MPLS	具有	支持面向连接的服务质量、支持流量工程、有效支持VPN等特点	21
MPLS	通过	在入口处给每一个IP数据报打上固定长度的标签	22
MPLS	使得	IP数据报转发过程大大加快	23
MPLS域	由	支持MPLS技术的标签交换路由器LSR组成	24
LSR	具有	标签交换和路由选择功能	25
MPLS	使用	专门的标签分配协议LDP交换报文	26
LDP	用于	找出和特定标签相对应的路径	27
MPLS	将	属于同样FEC的IP数据报指派同样的标签	28
FEC	是	转发等价类	29
FEC	表示	路由器按照同样方式对待的IP数据报的集合	30
MPLS	用于	负载均衡	31
MPLS	通过	自定义的FEC更好地管理网络资源	32
MPLS	需要	封装技术插入MPLS首部	33
MPLS首部	处在	第二层和第三层之间	34
MPLS	使用	以太网的类型字段设置为8847来标识MPLS帧	35
MPLS首部	包括	标签值、实验、S位和TTL四个字段	36
MPLS	允许	高达220个流的同时存在	37
MPLS	通过	控制器分配SR标签	38
SR	是	段路由选择协议	39
SR	基于	标签交换	40
SR	由	源节点指定路径	41
SR	将路径转换成	有序的段列表	42
SRv6	是	SR的IPv6演进版本	43
SRv6	直接利用	IPv6字段作为标签寻址	44
软件定义网络SDN	由	斯坦福大学N. McKeown于2009年首先提出	45
SDN	是一个	体系结构	46
SDN	把	网络的控制层面和数据层面分离	47
OpenFlow	是	SDN体系结构中控制层面和数据层面之间的通信接口	48
OpenFlow	使得	控制层面的控制器可以对数据层面中的物理设备或虚拟设备进行直接访问和操纵	49
SDN	使得	网络运行更加稳定和管理更加高效简化	50
SDN	可以	提高网络带宽利用率	51
SDN	可以	降低运行费用	52
OpenFlow	是一个	得到高度认可的标准	53
MPLS	支持	虚拟专用网VPN	54
MPLS	通过	显式路由选择确定进入MPLS域后的转发路径	55
MPLS	使得	IP数据报转发过程加快	56
MPLS	使用	标签交换路径LSP	57
MPLS	通过	入口节点给IP数据报打上标签	58
MPLS	在	出口节点去除MPLS标签	59
MPLS	允许	网络管理员自定义FEC	60
MPLS	通过	流量工程实现网络负载均衡	61
MPLS	使用	标签栈	62
MPLS	使用	生存时间TTL防止分组在MPLS域中兜圈子	63
新一代MPLS	需要	资源预留协议RSVP	64
RSVP	不支持	等价多路径路由选择ECMP	65
SR	简化了	设备运行的协议数量	66
SR	由	源节点为发送的报文指定路径	67
SDN	通过	控制器分配SR标签	68
SDN	使得	网络控制更加集中	69
