subject	predicate	object	source_row
音频/视频文件	使用协议下载	RTP	0
媒体播放器	可以	暂停和继续播放	1
RTSP客户端	可以发送	TEARDOWN报文断开连接	2
媒体服务器的RTSP服务器	发送	RESPONSE报文	3
IP电话	是	在互联网上传送多媒体信息的一个例子	4
IP电话	有	狭义和广义两种解释	5
IP电话网关	是	公用电话网与IP网络的接口设备	6
IP电话网关	进行	电话信令的转换	7
IP电话网关	进行	话音编码的转换	8
IP电话	受	端到端的时延和时延抖动影响	9
IP电话	受	话音分组的丢失率影响	10
IP电话	需要	统一的国际标准的话音编码	11
ITU-T	制定	G.729和G.723.1标准	12
G.729	是	8 kbit/s的共辅结构代数码激励线性预测声码器	13
G.723.1	是	5.3/6.3 kbit/s的线性预测编码声码器	14
Skype	使用	iLBC互联网低比特率编解码器	15
Skype	支持	两种帧长	16
Skype	采用	P2P技术和全球索引技术	17
Skype	采用	端对端的加密方式	18
Skype	对	公共目录中存储的数据采用数字签名	19
RTP	提供	端到端的运输但不保证服务质量	20
RTP分组	包含	RTP数据和控制信息	21
RTCP	提供	服务质量的监视与反馈	22
RTCP	提供	媒体间的同步	23
RTCP	提供	多播组成员的标志	24
H.323	是	ITU-T制定的在局域网上传送话音信息的建议书	25
H.323	包括	系统和构件的描述、呼叫模型的描述、呼叫信令过程等	26
H.323终端	可以是	PC或运行H.323程序的单个设备	27
H.323网关	连接	两种不同的网络	28
H.323网闸	提供	地址转换、授权、带宽管理和计费功能	29
H.323 MCU	支持	三个或更多的H.323终端的音频或视频会议	30
SIP	是	会话发起协议	31
SIP	使用	文本方式的客户－服务器协议	32
SIP系统	包括	用户代理和网络服务器	33
SIP用户代理	包括	用户代理客户和用户代理服务器	34
SIP网络服务器	分为	代理服务器和重定向服务器	35
SIP	使用	灵活的地址格式	36
SIP	基于	报文的协议	37
SIP会话	包括	建立会话、通信和终止会话三个阶段	38
SIP	使用	跟踪用户机制	39
SIP	定义	登记器	40
SDP	是	会话描述协议	41
服务质量QoS	是	服务性能的总效果	42
服务质量QoS	决定	用户对服务的满意程度	43
服务质量QoS	可用	基本性能指标描述	44
互联网	提供	尽最大努力交付的服务	45
互联网	需要	一定的服务质量以传送多媒体信息	46
Skype	占据	国际长途电话市场份额的40%	47
Skype	推出时间	2003年8月	48
Skype	用户增长速度	每天超过15万用户	49
RTP	封装	多媒体数据块	50
RTCP	提供	服务质量监视与反馈	51
H.323	包括	音频编解码器、视频编解码器、呼叫信令等	53
H.323	支持	点对点或一点对多点的多媒体通信	54
SIP	使用	KISS原则	55
SIP	以	互联网为基础	56
SIP	视为	IP电话为互联网上的新应用	57
SIP	涉及	信令和服务质量问题	58
SIP	不强制使用	特定的编解码器	59
SIP	不强制使用	RTP协议	60
SIP	使用	文本方式的客户-服务器协议	61
SIP	具有	更好的可扩缩性	62
SIP	定义	用户代理和网络服务器	63
SIP	包含	用户代理客户和用户代理服务器	64
SIP	包含	代理服务器和重定向服务器	65
