subject	predicate	object	source_row
TCP	是	TCP/IP体系中非常复杂的一个协议	0
TCP	是	面向连接的运输层协议	1
TCP连接	必须	先建立	2
TCP连接	必须	释放	3
TCP连接	是	点对点的	4
TCP	提供	可靠交付的服务	5
TCP	提供	全双工通信	6
TCP	是	面向字节流	7
TCP连接	像	一条管道	8
TCP报文段	包含	上千个字节	9
TCP连接	是	虚连接	10
TCP	不关心	报文发送长度	11
TCP	根据	窗口值和网络拥塞程度决定报文段长度	12
TCP	可以	划分数据块	13
TCP	可以	等待积累足够多的字节后再发送	14
TCP连接	由	套接字对确定	15
套接字	定义为	端口号拼接到IP地址	16
套接字	表示为	IP地址后写上端口号	17
TCP连接	是	两个套接字之间的连接	18
IP地址	可以	有多个不同的TCP连接	19
端口号	可以	出现在多个不同的TCP连接中	20
套接字	有时表示为	插座	21
TCP连接	像	电缆线	22
套接字	有时表示为	软件名词	23
socket	表示	多种不同的意思	24
IP层	提供	尽最大努力服务	25
TCP	必须	采取措施实现可靠传输	26
理想传输条件	包括	传输信道不产生差错	27
理想传输条件	包括	接收方来得及处理数据	28
可靠传输协议	可以	实现可靠传输	29
停止等待协议	是	每发送完一个分组就停止发送	30
停止等待协议	需要	等待对方确认	31
停止等待协议	在	收到确认后再发送下一个分组	32
停止等待协议	适用于	全双工通信	33
分组	称为	传送的数据单元	34
TCP	使用	可靠传输协议	35
TCP	允许	通信双方的应用进程在任何时候都能发送数据	36
TCP	允许	应用程序在把数据传送给TCP的缓存后就可以做自己的事	37
TCP	允许	上层的应用进程在合适的时候读取缓存中的数据	38
TCP	把	应用程序交下来的数据看成是一连串的无结构的字节流	39
TCP	不保证	接收方应用程序所收到的数据块和发送方应用程序所发出的数据块具有对应大小的关系	40
接收方应用程序	必须	有能力识别收到的字节流	41
TCP	必须	传送数据无差错、不丢失、不重复，并且按序到达	42
TCP	允许	接收方的TCP可能只用了4个数据块就把收到的字节流交付上层的应用程序	44
TCP	允许	发送方应用程序交给发送方的TCP共10个数据块	45
TCP	允许	接收方应用程序收到的字节流必须和发送方应用程序发出的字节流完全一样	46
套接字	有时表示为	应用程序访问连网协议的应用编程接口API	47
socket	有时表示为	socketAPI中使用的一个函数名	48
socket	有时表示为	调用socket函数的端点	49
socket	有时表示为	调用socket函数时的返回值	50
socket	有时表示为	操作系统内核中连网协议的Berkeley实现	51
