subject	predicate	object	source_row
局域网	使用的是	广播信道	0
局域网	发展于	20世纪70年代末	1
局域网	特点包括	网络为一个单位所拥有	2
局域网	特点包括	地理范围和站点数目有限	3
局域网	特点包括	具有广播功能	4
局域网	特点包括	便于系统的扩展和逐渐地演变	5
局域网	特点包括	提高了系统的可靠性、可用性和生存性	6
局域网	可按	网络拓扑进行分类	7
局域网拓扑	包括	星形网	8
局域网拓扑	包括	环形网	9
局域网拓扑	包括	总线网	10
总线网	特点为	各站直接连接在总线上	11
以太网	发展为	星形网	12
以太网	速率为	1 Gbit/s	13
以太网	速率为	10 Gbit/s	14
以太网	速率为	100 Gbit/s	15
局域网	可使用	多种传输媒体	16
局域网	主流传输媒体为	双绞线	17
双绞线	可用于	从10 Mbit/s至10 Gbit/s的局域网	18
局域网	工作层次跨越	数据链路层和物理层	19
共享信道	考虑问题为	如何使众多用户能够合理而方便地共享通信媒体资源	20
共享信道	解决方法包括	静态划分信道	21
共享信道	解决方法包括	动态媒体接入控制	22
动态媒体接入控制	又称为	多点接入	23
多点接入	特点为	信道并非在用户通信时固定分配给用户	24
多点接入	分为	随机接入	25
多点接入	分为	受控接入	26
随机接入	特点是	所有的用户可随机地发送信息	27
受控接入	特点是	用户不能随机地发送信息而必须服从一定的控制	28
以太网	主要标准为	DIX Ethernet V2	29
以太网	主要标准为	IEEE 802.3	30
适配器	作用为	计算机与外界局域网的连接	31
适配器	又称为	网络接口卡NIC	32
适配器	功能包括	进行数据串行传输和并行传输的转换	33
适配器	功能包括	实现以太网协议	34
适配器	功能包括	不使用计算机的CPU接收和发送各种帧	35
CSMA/CD协议	意思是	载波监听多点接入／碰撞检测	36
CSMA/CD协议	实质为	载波监听和碰撞检测	37
以太网	使用	曼彻斯特编码的信号	38
曼彻斯特编码	特点为	保证了在每一个比特的正中间出现一次电压的转换	39
以太网	规定	最短帧长64字节	40
以太网	规定	帧间最小间隔为9.6 µs	41
集线器	工作在	物理层	42
集线器	特点为	简单地转发比特	43
集线器	特点为	不进行碰撞检测	44
以太网	信道利用率	受碰撞影响	45
以太网	参数包括	单程端到端时延	46
以太网	参数包括	帧的发送时间	47
MAC层	硬件地址又称为	物理地址	48
MAC地址	规定为	48位	49
MAC地址	由IEEE 802标准规定		50
MAC地址	固化在	适配器的ROM中	51
适配器	地址字段可采用	6字节或2字节	52
MAC地址	由IEEE的注册管理机构RA负责分配	前三个字节	53
MAC地址	由厂家自行指派	后三个字节	54
MAC地址	第一字节的最低有效位为	I/G位	55
I/G位	表示	Individual/Group	56
MAC地址	第一字节的最低第二位为	G/L位	57
G/L位	表示	Global/Local	58
适配器	可设置为	混杂方式	59
混杂方式	允许适配器接收	所有在以太网上传输的帧	60
MAC帧	由	五个字段组成	61
以太网V2的MAC帧	使用	曼彻斯特编码	62
曼彻斯特编码	特点为	每个码元的正中间一定有一次电压转换	63
MAC帧	首部没有	帧长度字段	64
MAC帧	长度在	46到1500字节之间	65
MAC帧	检验序列为	FCS	66
FCS	使用	CRC检验	67
IEEE 802.3标准	规定	MAC帧格式	68
IEEE 802.3标准	规定	无效的MAC帧条件	69
以太网	传送数据时	以帧为单位	70
以太网	在帧之间必须有	一定的间隙	71
以太网	不需要	帧结束定界符	72
以太网	不需要	字节插入来保证透明传输	73
IEEE 802.3标准	包括	8字节的前同步码和帧开始定界符	74
前同步码	作用为	使接收端适配器迅速实现位同步	75
帧开始定界符	定义为	10 10 10 11	76
IEEE 802.3标准	规定的MAC帧格式与以太网V2的区别包括	长度／类型字段	77
长度／类型字段	表示	当值大于0x0600时表示类型	78
长度／类型字段	表示	当值小于0x0600时表示长度	79
以太网	扩展包括	在物理层扩展	80
以太网	扩展包括	在数据链路层扩展	81
