subject	predicate	object	source_row
信道复用技术	是	通信技术中的基本概念	0
计算机网络中的信道	广泛地使用	各种复用技术	1
复用技术	允许	多个用户共享信道资源	2
频分复用FDM	基于	调制方法	3
时分复用TDM	将时间划分为	一段段等长的时分复用帧	4
时分复用TDM信号	称为	等时信号	5
频分复用	让	多个用户各使用一个频带	6
时分复用	让	多个用户轮流使用时隙	7
频分多址接入FDMA	称为	频分多址	8
时分多址接入TDMA	称为	时分多址	9
时分复用系统	传送	计算机数据	10
时分复用系统	可能导致	线路资源的浪费	11
统计时分复用STDM	是	改进的时分复用	12
统计时分复用	能	明显提高信道的利用率	13
统计时分复用	使用	STDM帧来传送复用的数据	14
波分复用WDM	是	光的频分复用	15
波分复用	使	光纤的传输能力成倍提高	16
密集波分复用DWDM	使	光纤上复用的光载波信号的路数越来越多	17
扩频通信	是	CDMA系统的一种	18
直接序列扩频DSSS	是	扩频通信的一类	19
跳频扩频FHSS	是	扩频通信的另一类	20
CDMA系统	给每个站分配	唯一的码片序列	21
码片序列	必须	互相正交	22
码片序列	是	伪随机码序列	23
数字传输系统	采用	时分复用PCM	24
长途干线	大都采用	数字传输方式	25
模拟线路	基本上只剩下	从用户电话机到市话交换机之间的这一段	26
时分复用帧	在	时分复用系统中周期性出现	27
时分复用	可能导致	子信道利用率不高	28
统计时分复用	按需动态地分配	时隙	29
波分复用	使用	一根光纤同时传输多个光载波信号	30
波分复用	通过	改变光载波的波长实现	31
密集波分复用	在一根光纤上复用	几十路或更多路数的光载波信号	32
扩频通信	提高	信号的抗干扰能力	33
码片序列	用于	CDMA系统中的信号扩展	34
码片序列的正交性	确保	信号的有效接收	35
数字传输系统	替代	模拟传输方式	36
时分复用	适用于	数字信号的传输	37
时分复用帧长度	在	时分复用系统中保持不变	38
时分复用	可能导致	线路资源浪费	39
统计时分复用	通过	集中器实现	40
波分复用	提高	光纤传输能力	41
扩频通信	分为	直接序列扩频和跳频扩频	42
码片序列	用于	CDMA系统中的信号识别	43
数字传输系统	在	长途干线上采用	44
时分复用	适用于	计算机数据传输	45
统计时分复用	提高	线路利用率	46
波分复用	使用	光复用器和光分用器	47
扩频通信	允许	多个信号在同一信道上传输	48
码片序列	必须	各不相容	49
数字传输系统	提供	高质量的传输	50
