subject	predicate	object	source_row
协议软件	需要	协议参数化	0
协议参数化	使得	同一经过编译的二进制代码可在多台计算机上使用	1
协议软件	需要	协议配置	2
协议配置	包括	IP地址、子网掩码、默认路由器的IP地址、域名服务器的IP地址	3
IP地址	包括	主机号和网络号	4
动态主机配置协议DHCP	提供	即插即用连网机制	5
DHCP	允许	计算机加入新网络和获取IP地址而不用手工参与	6
DHCP	适用于	运行客户软件和服务器软件的计算机	7
DHCP服务器	给	运行服务器软件而位置固定的计算机指派一个永久地址	8
DHCP	使用	客户服务器方式	9
DHCP客户	发送	发现报文DHCPDISCOVER	10
DHCP服务器	返回	提供报文DHCPOFFER	11
DHCP中继代理	通常是一个	路由器	12
DHCP中继代理	配置了	DHCP服务器的IP地址信息	13
DHCP服务器	分配给	DHCP客户临时的IP地址	14
DHCP协议	称分配的IP地址使用时间为	租用期	15
DHCP客户	可以在	租用期范围内使用分配到的IP地址	16
DHCP客户	设置	两个计时器T1和T2	17
DHCP客户	发送	请求报文DHCPREQUEST	18
DHCP服务器	发送	确认报文DHCPACK	19
DHCP客户	进入	已绑定状态	20
DHCP客户	可以随时提前终止	服务器所提供的租用期	21
DHCP	适合	经常移动位置的计算机	22
DHCP	允许	计算机使用Windows操作系统时自动获得IP地址	23
DHCP服务器	若同意	则发回确认报文DHCPACK	24
DHCP服务器	若不同意	则发回否认报文DHCPNACK	25
DHCP客户	必须	立即停止使用原来的IP地址	26
DHCP客户	需要	重新申请IP地址	27
DHCP服务器	不响应	则DHCP客户必须重新发送请求报文DHCPREQUEST	28
DHCP客户	发送	释放报文DHCPRELEASE	29
DHCP	使得	计算机易于配置和管理	30
DHCP	允许	网络管理员轻松管理网络中的主机	31
DHCP服务器	提供	网络中的主机IP地址分配和管理	32
DHCP客户	接收	来自DHCP服务器的IP地址分配	33
DHCP	定义了	一系列DHCP消息类型	34
DHCP	使用	UDP端口68和67	35
DHCP中继代理	转发	DHCP发现报文	36
DHCP服务器	返回	提供报文包含租用期信息	37
DHCP客户	可以	提出对租用期的要求	38
DHCP	允许	计算机动态获取网络配置	39
DHCP服务器	可以	设定租用期长度	40
DHCP	使得	网络配置自动化和集中管理	41
DHCP	适用于	大型网络环境	42
DHCP服务器	可以	管理多个网络接口的IP地址分配	43
DHCP客户	在	租用期满后需要重新申请IP地址	44
DHCP服务器	可以	拒绝DHCP客户的IP地址续租请求	45
DHCP	使得	网络中的设备可以自动配置	46
DHCP客户	发送	DHCPREQUEST报文选择DHCP服务器	47
DHCP服务器	发送	DHCPACK报文确认IP地址分配	48
DHCP客户	在	租用期结束前发送DHCPREQUEST报文请求续租	49
DHCP服务器	可以	更新DHCP客户的租用期	50
DHCP客户	在	租用期过了87.5%时重新发送DHCPREQUEST报文	51
DHCP服务器	可以	决定是否接受DHCP客户的续租请求	52
DHCP客户	可以	通过发送DHCPRELEASE报文提前终止租用期	53
DHCP	允许	网络管理员轻松管理IP地址分配	54
DHCP	使得	网络中的主机可以动态获取IP地址	55
