subject	predicate	object	source_row
域名系统DNS	是	互联网使用的命名系统	0
DNS	用来	把便于人们使用的机器名字转换为IP地址	1
DNS	为	互联网的各种网络应用提供核心服务	2
用户	必须知道	对方的IP地址	3
主机	有	IP地址和便于用户记忆的主机名字	4
DNS	能够	把主机名字转换为IP地址	5
ARPANET时代	使用	hosts文件	6
hosts文件	列出	所有主机名字和相应的IP地址	7
IP地址	因为	长度固定而便于机器处理	8
域名	因为	长度不固定而机器处理困难	9
互联网	采用	层次树状结构的命名方法	10
DNS	被设计成为	联机分布式数据库系统	11
DNS	采用	客户服务器方式	12
DNS系统	使	大多数名字都在本地进行解析	13
DNS	是	分布式系统	14
域名服务器程序	运行在	专设的节点上	15
域名服务器程序	也称为	域名服务器	16
域名到IP地址的解析	由	分布在互联网上的许多域名服务器程序共同完成	17
域名服务器	若不能回答请求	则向其他域名服务器发出查询请求	18
域名	由	标号序列组成	20
标号	之间用	点隔开	21
域名中的标号	由	英文字母和数字组成	22
每个标号	不超过	63个字符	23
域名	不区分	大小写字母	24
标号中	除	连字符外不能使用其他标点符号	25
完整域名	总共不超过	255个字符	26
各级域名	由	其上一级的域名管理机构管理	27
顶级域名	由	ICANN进行管理	28
域名	只是	逻辑概念	29
域名	不代表	计算机所在的物理地点	30
IP地址	是	定长的32位二进制数字	31
全球顶级域名TLD	在IANA登记的已有	1584个	32
国家顶级域名nTLD	采用	ISO3166的规定	33
通用顶级域名gTLD	到2006年12月为止总数已经达到	20个	34
基础结构域名	只有一个	即arpa	35
ICANN	在2011年6月20日批准	新顶级域名(N ew gTLD)	36
新顶级域名	被认为是	真正的企业网络商标	37
新顶级域名	是	企业品牌战略发展的重要内容	38
我国	把二级域名划分为	类别域名和行政区域名两大类	39
类别域名	共	7个	40
行政区域名	共	34个	41
互联网域名系统	用	域名树表示	42
域名树	实际上是一个	倒过来的树	43
根	是	最上面的一级	44
顶级域名	可往下划分	子域即二级域名	45
DNS服务器	具体实现	域名系统	46
DNS	采用	划分区的办法	47
区	是	一个服务器所负责管辖的范围	48
DNS服务器	根据	域名服务器所起的作用进行分类	49
根域名服务器	是最高层次的域名服务器		50
根域名服务器	知道	所有的顶级域名服务器的域名和IP地址	51
根域名服务器	在全球共有	13个不同的IP地址的域名	52
顶级域名服务器	负责管理	在该顶级域名服务器注册的所有二级域名	53
权限域名服务器	负责	一个区的域名服务器	54
本地域名服务器	不隶属于	域名服务器层次结构	55
本地域名服务器	对	域名系统非常重要	56
DNS服务器	把数据复制到	几个域名服务器来保存	57
主域名服务器	定期把数据复制到	辅助域名服务器	58
辅助域名服务器	在	主域名服务器出故障时保证DNS查询工作不中断	59
更改数据	只能在	主域名服务器中进行	60
主机	向	本地域名服务器的查询一般采用递归查询	61
本地域名服务器	向	根域名服务器的查询通常采用迭代查询	62
根域名服务器	告诉	本地域名服务器下一步应当找哪一个顶级域名服务器进行查询	63
顶级域名服务器	告诉	本地域名服务器下一步应当向哪一个权限域名服务器进行查询	64
本地域名服务器	经过	三次迭代查询后从权限域名服务器得到主机IP地址	65
本地域名服务器	把查询结果	告诉发起查询的主机	66
DNS查询效率	通过	高速缓存提高	67
高速缓存	用来存放	最近查询过的域名以及从何处获得域名映射信息的记录	68
本地域名服务器	维护	存放自己最近使用的域名的高速缓存	69
主机	从	本地域名服务器下载名字和地址的全部数据库	70
域名服务器	为每项内容设置	计时器并处理超过合理时间的项目	71
文件传送协议FTP	曾是	互联网上使用得最广泛的文件传送协议	72
FTP	提供	交互式访问	73
FTP	允许	客户指明文件的类型与格式	74
FTP	允许	文件具有存取权限	75
FTP	屏蔽了	各计算机系统的细节	76
FTP	适合于	异构网络中任意计算机之间传送文件	77
FTP	在	互联网发展的早期阶段占整个互联网通信量的三分之一	78
WWW	在	1995年通信量首次超过了FTP	79
文件共享协议	分为	复制整个文件的FTP和联机访问	80
联机访问	允许	多个程序同时对一个文件进行存取	81
NFS	是	网络文件系统	82
NFS	允许	本地计算机共享远地的资源	83
NFS	主要应用在	TCP/IP网络上	84
NFS	也可以在	OS/2, MS-Windows, NetWare等操作系统上运行	85
