subject	predicate	object	source_row
NAT路由器	必须由	专用网内的主机发起通信	0
NAT路由器	不能	将目的IP地址转换成专用网内的本地IP地址	1
NAT	允许	多个拥有本地地址的主机共用一个全球IP地址	2
NAPT	是	网络地址与端口号转换	3
传统NAT	不使用	端口号	4
NAPT	允许	不同的源IP地址转换为同样的全球IP地址	5
NAPT	转换	源主机所采用的TCP端口号为不同的新的端口号	6
NAPT路由器	查看和转换	运输层的端口号	7
MPLS	是	多协议标签交换	8
MPLS	综合了	思科公司的标签交换和Ipsilon公司的IP交换等技术	9
MPLS	成为	互联网的建议标准	10
MPLS	利用	面向连接技术	11
MPLS	使	每个分组携带一个标签	12
MPLS	采用	硬件技术对打上标签的IP数据报进行转发	13
MPLS	支持	多种链路层协议	14
MPLS	具有	支持面向连接的服务质量、支持流量工程、有效支持VPN等特点	15
MPLS	通过	在入口处给每一个IP数据报打上固定长度的标签	16
MPLS	使得	IP数据报转发过程大大加快	17
MPLS域	由	支持MPLS技术的标签交换路由器LSR组成	18
LSR	具有	标签交换和路由选择功能	19
MPLS	使用	专门的标签分配协议LDP交换报文	20
LDP	用于	找出和特定标签相对应的路径	21
MPLS	将	属于同样FEC的IP数据报指派同样的标签	22
FEC	是	转发等价类	23
FEC	表示	路由器按照同样方式对待的IP数据报的集合	24
MPLS	用于	负载均衡	25
MPLS	通过	自定义的FEC更好地管理网络资源	26
MPLS	需要	封装技术插入MPLS首部	27
MPLS首部	处在	第二层和第三层之间	28
MPLS	使用	以太网的类型字段设置为8847来标识MPLS帧	29
MPLS	包含	标签值、实验、S位和TTL四个字段	30
MPLS	允许	高达220个流的同时存在	31
MPLS	通过	控制器分配SR标签	32
SR	是	段路由选择协议	33
SR	基于	标签交换	34
SR	由	源节点指定路径	35
SR	将路径转换成	有序的段列表	36
SRv6	是	SR的IPv6演进版本	37
SRv6	直接利用	IPv6字段作为标签寻址	38
SR-MPLS	是	基于MPLS的SR	39
SDN	由	斯坦福大学N. McKeown于2009年首先提出	40
SDN	是一个	体系结构	41
SDN	把	网络的控制层面和数据层面分离	42
OpenFlow	是	SDN体系结构中控制层面和数据层面之间的通信接口	43
OpenFlow	使得	控制层面的控制器可以对数据层面中的物理设备或虚拟设备进行直接访问和操纵	44
SDN	通过	协议OpenFlow实现控制层面对数据层面的控制	45
SDN	使得	网络运行更加稳定和管理更加高效简化	46
SDN	可以	提高网络带宽利用率	47
SDN	可以	降低运行费用	48
OpenFlow	是一个	得到高度认可的标准	49
MPLS	支持	虚拟专用网VPN	50
MPLS	通过	显式路由选择确定进入MPLS域后的转发路径	51
MPLS	使得	IP数据报转发过程加快	52
MPLS	使用	标签交换路径LSP	53
MPLS	通过	入口节点给IP数据报打上标签	54
MPLS	在	出口节点去除MPLS标签	55
MPLS	允许	网络管理员自定义FEC	56
MPLS	通过	流量工程实现网络负载均衡	57
MPLS	使用	标签栈	58
MPLS	使用	生存时间TTL防止分组在MPLS域中兜圈子	59
新一代MPLS	需要	资源预留协议RSVP	60
RSVP	不支持	等价多路径路由选择ECMP	61
SR	简化了	设备运行的协议数量	62
SR	由	源节点为发送的报文指定路径	63
SDN	通过	控制器分配SR标签	64
SDN	使得	网络控制更加集中	65
SDN	使得	网络管理更加高效	66
