subject	predicate	object	source_row
SDH/SONET	定义了	标准光信号	0
SDH/SONET	规定了	波长为1310 nm和1550 nm的激光源	1
SDH/SONET	定义了	帧结构	2
SDH/SONET	实现了	数字传输体制上的世界性标准	3
SDH/SONET	适合	微波和卫星传输的技术体制	4
用户	连接到	ISP	5
用户	通过	调制解调器连接到ISP	6
宽带	定义为	接入到互联网的速率远大于56 kbit/s	7
FCC	定义	宽带为双向速率之和超过200 kbit/s	8
FCC	重新定义	宽带下行速率为25 Mbit/s	9
FCC	重新定义	宽带上行速率为3 Mbit/s	10
宽带接入	划分为	有线宽带接入和无线宽带接入	11
ADSL	使用	数字技术对现有模拟电话的用户线进行改造	12
ADSL	把	0 ~ 4 k Hz低端频谱留给传统电话使用	13
ADSL	使用	高端频谱留给用户上网使用	14
ADSL	采用	ITU标准G.992.1	15
ADSL	采用	DMT调制技术	16
ADSL	采用	频分复用的方法	17
ADSL	使用	自适应调制技术	18
ADSL	由	数字用户线接入复用器DSLAM、用户线和用户家中的一些设施组成	19
DSLAM	包括	许多ADSL调制解调器	20
ADSL调制解调器	又称为	接入端接单元ATU	21
ATU-C	代表	端局(Central Office)	22
ATU-R	代表	远端(Remote)	23
电话分离器	利用	低通滤波器将电话信号与数字信号分开	24
DSLAM	可支持	多达500~1000个用户	25
ADSL	可以	利用现有电话网中的用户线（铜线）	26
ADSL技术	发展为	G系列标准	27
ADSL2	要求	至少应支持下行8Mbit/s、上行800kbit/s的速率	28
ADSL2+	扩展	频谱范围从1.1 MHz扩展至2.2 MHz	29
ADSL2+	提供	下行速率可达16 Mbit/s	30
SDSL	是	对称DSL	31
HDSL	是	使用一对线或两对线的对称DSL	32
VDSL	提供	下行速率达50~55 Mbit/s	33
VDSL2	提供	上行和下行速率都能够达到100 Mbit/s	34
G.fast	目标是	使用单对直径为0.5 mm的铜线在100 m距离提供900 Mbit/s的接入速率	35
HFC网	基于	有线电视网	36
HFC网	提供	电话、数据和其他宽带交互型业务	37
HFC网	采用	模拟技术的频分复用	38
HFC网	改造为	光纤同轴混合网	39
HFC网	具有	双向传输功能	40
HFC网	扩展了	传输频带	41
机顶盒	用于	使模拟电视机能够接收数字电视信号	42
电缆调制解调器	又称为	cable modem	43
DOCSIS	由	美国有线电视实验室CableLabs制定	44
FTTx	表示	Fiber To The ...	45
FTTH	是	光纤到户	46
FTTx	包括	FTTC、FTTZ、FTTB、FTTF、FTTO、FTTD	47
无源光配线网ODN	使得	数十个家庭用户能够共享一根光纤干线	48
无源光网络PON	采用	波分复用	49
EPON	是	以太网无源光网络	50
GPON	是	吉比特无源光网络	51
GPON	采用	通用封装方法GEM	52
物理层	确定	与传输媒体的接口有关的一些特性	53
数据通信系统	划分为	源系统、传输系统和目的系统	54
通信	传送	消息	55
信号	可分为	模拟信号和数字信号	56
通信	划分为	单向通信、双向交替通信和双向同时通信	57
基带信号	来自	信源	58
调制	有	基带调制和带通调制	59
传输媒体	可分为	导引型传输媒体和非导引型传输媒体	60
信道复用技术	包括	频分复用、时分复用、统计时分复用、码分复用和波分复用	61
数字传输系统	使用	脉冲编码调制PCM	62
高速数字传输系统	使用	同步光纤网SONET或同步数字系列SDH	63
宽带接入方法	有	ADSL、HFC和FTTx	64
无源光网络PON	无须	配备电源	65
最流行的无源光网络	是	EPON和GPON	66
