subject	predicate	object	source_row
公钥分配	是	密钥管理中的一个重要问题	0
密钥分配	必须通过	最安全的通路进行	1
密钥分配	可以采用	网外分配方式	2
密钥分配	也可以采用	网内分配方式	3
密钥分配中心KDC	是	大家都信任的机构	4
KDC	负责	给用户临时分配会话密钥	5
会话密钥	是	仅使用一次的密钥	6
用户A和B	在	KDC登记时安装了各自的主密钥	7
密钥分配	分为	三个步骤	8
KDC	用	随机数产生会话密钥	9
票据	是	请A转给B的一个加密信息	10
票据	用	B的密钥KB加密	11
用户B	使用	自己的密钥KB解密票据	12
KDC	可在报文加入	时间戳	13
会话密钥KAB	是	一次性的	14
Kerberos V5	是	美国麻省理工学院开发的对称密钥分配协议	15
Kerberos	使用	高级加密标准AES进行加密	16
Kerberos	包括	鉴别服务器AS和票据授予服务器TGS	17
Kerberos	用于	客户与服务器之间的鉴别	18
Kerberos	需要通过	六个步骤鉴别用户身份	19
公钥分配	面临	如何获得和确认公钥真实性的问题	20
认证中心CA	是	可信任的第三方机构	21
CA	给拥有公钥的实体发	数字证书	22
数字证书	是	对公钥与其对应实体进行绑定的证明	23
数字证书	包含	公钥及其拥有者标识信息	24
数字证书	包含	CA使用自己私钥的数字签名	25
用户	可以从	可信任的地方获得CA的公钥	26
X.509	是	ITU-T制定的数字证书格式标准	27
X.509	规定	数字证书必须包括的字段	28
X.509	提出	多级认证中心链接起来的树状认证系统	29
根认证中心	是	最高级别的认证中心	30
信任链	表示	这条链接上的认证机构都是可信的	31
证书链	通过	链接可以查到本证书的签发者	32
根证书	是	自签名的	33
用户	若发现私钥被盗或遗失	应及时报告上级CA	34
CA	应当有一个	公布于众的证书撤销名单	35
互联网使用的		安全协议	36
安全协议	应用于	网络层、运输层和应用层	37
