subject	predicate	object	source_row
第6章	讨论	应用层	0
应用层	讨论	各种应用进程通过什么样的应用层协议来使用网络所提供的通信服务	1
应用层协议	位于	运输层协议之上	2
应用层协议	解决	某一类应用问题	3
应用层协议	需要	多个应用进程之间的通信和协同工作来完成	4
应用层	精确定义	通信规则	5
应用层协议	定义	应用进程交换的报文类型	6
应用层协议	定义	各种报文类型的语法	7
应用层协议	定义	字段的语义	8
应用层协议	定义	进程何时、如何发送报文，以及对报文进行响应的规则	9
互联网公共领域的标准应用层协议	由	RFC文档定义	10
万维网的应用层协议HTTP	由	RFC 7230定义	11
应用层协议	与	网络应用不是同一个概念	12
应用层协议	是	网络应用的一部分	13
万维网应用	包含	万维网浏览器、万维网服务器、万维网文档的格式标准以及应用层协议	14
万维网的应用层协议	是	HTTP	15
应用层的许多协议	基于	客户服务器方式	16
P2P对等通信方式	实质上也是	一种特殊的客户服务器方式	17
客户	指	通信中的服务请求方	18
服务器	指	通信中的服务提供方	19
域名系统DNS	是	互联网使用的命名系统	20
域名系统DNS	用来	把便于人们使用的机器名字转换为IP地址	21
域名系统DNS	其实就是	名字系统	22
域名系统DNS	因为	使用了许域（domain），所以出现了域名这个名词	23
许多应用层软件	经常直接使用	域名系统DNS	24
用户	必须知道	互联网上某台主机的IP地址	25
用户	很难记住	长达32位的二进制主机地址	26
用户	很难记住	点分十进制IP地址	27
主机	有	IP地址和便于用户记忆的主机名字	28
域名系统DNS	能够	把互联网上的主机名字转换为IP地址	29
ARPANET时代	使用	hosts文件列出所有主机名字和相应的IP地址	30
机器	在处理IP数据报时	要使用IP地址而不是域名	31
互联网的域名系统DNS	被设计成为一个	联机分布式数据库系统	32
DNS	采用	客户服务器方式	33
DNS	使	大多数名字都在本地进行解析	34
DNS	是	分布式系统	35
DNS	即使	单个计算机出了故障，也不会妨碍整个DNS系统的正常运行	36
应用层	包含	域名系统DNS	37
应用层	包含	文件传送协议	38
应用层	包含	远程登录协议	39
应用层	包含	万维网的工作	40
应用层	包含	电子邮件	41
应用层	包含	网络管理	42
应用层	包含	网络编程	43
