subject	predicate	object	source_row
SIP代理	用于	跟踪被叫方的机制	0
SIP登记器	如果被叫没有进行过登记就发回	重定向报文	1
SDP	是	会话描述协议	2
SDP	详细地指明了	媒体编码、协议的端口号以及多播地址	3
服务质量QoS	是	服务性能的总效果	4
服务质量QoS	决定	用户对服务的满意程度	5
互联网	提供	尽最大努力交付的服务	6
服务质量	可用若干基本性能指标描述，包括	可用性、差错率、响应时间、吞吐量、分组丢失率、连接建立时间、故障检测和改正时间等	7
服务质量	可	由服务提供者向其用户保证某一等级	8
路由器R1	处理	实时音频数据和FTP文件数据	9
路由器R1	需要	增加机制给不同性质的分组打上不同的标记	10
路由器	需要	增加分类机制	11
路由器	需要	对数据流进行通信量管制	12
路由器	需要	增加调度机制	13
路由器	需要	增加呼叫接纳机制	14
调度机制	指	排队的规则	15
先进先出FIFO	的最大缺点是	不能区分时间敏感分组和一般数据分组	16
按优先级排队	使	优先级高的分组优先得到服务	17
公平排队FQ	解决	优先级排队带来的问题	18
加权公平排队WFQ	增加	队列权重概念	19
漏桶管制器	用于	对数据流进行管制	20
漏桶管制器	控制	分组流进入网络的速率	21
综合服务IntServ	由	IETF提出	22
IntServ	包括	资源预留和呼叫建立	23
资源预留协议RSVP	是	IntServ的信令协议	24
RSVP	采用	多播树的方式	25
区分服务DiffServ	由	IETF提出	26
DiffServ	将	IPv4的服务类型字段和IPv6的通信量类字段重新定义为区分服务DS	27
DiffServ	提供	不同等级的服务质量	28
DS域	由	一个管理实体控制	29
边界路由器	是	DS域的边界节点	30
边界路由器	包括	分类器和通信量调节器	31
DiffServ	提供	聚合功能	32
每跳行为PHB	定义	转发分组时体现服务水平的行为	33
迅速转发PHB	构造	低丢失率、低时延、低时延抖动、确保带宽的端到端服务	34
确保转发PHB	提供	最低数量的带宽和缓存空间	35
多媒体信息	具有	大信息量和对时延及时延抖动的高要求	36
流媒体	是	流式音频/视频	37
媒体服务器	支持	流式音频和视频的传送	38
实时流式协议RTSP	用于	控制多媒体流的传送	39
IP电话	决定于	通话双方端到端的时延和时延抖动以及语音分组的丢失率	40
区分服务DiffServ	不需要	使用RSVP信令	41
区分服务DiffServ	通过	DS字段的不同数值提供不同等级的服务质量	42
区分服务DiffServ	将	网络划分为多个DS域	43
DS域内部路由器	工作	尽可能简单	44
边界路由器	根据	DS字段的值处理分组转发	45
区分服务DiffServ	定义了	两种PHB，即迅速转发PHB和确保转发PHB	46
迅速转发PHB	又称为	EF PHB	47
确保转发PHB	使用	DSCP的第0~2位把通信量划分为四个等级	48
区分服务DiffServ	没有定义	特定的服务或服务类别	49
区分服务DiffServ	允许	新的服务类别出现而旧的服务类别不再使用时仍然可以工作	50
互联网提供的音频/视频服务	包括	流式存储音频/视频、流式实况音频/视频和交互式音频/视频	51
流媒体	允许	边下载、边播放	52
实时流式协议RTSP	不传送	数据	53
IP电话	包括	电话通信、交互式多媒体实时通信和即时传信IM	54
