subject	predicate	object	source_row
数据链路层	属于	计算机网络的低层	0
数据链路层	使用的信道主要有	点对点信道和广播信道	1
点对点信道	使用	一对一的点对点通信方式	2
广播信道	使用	一对多的广播通信方式	3
局域网	不放在	网络层中讨论	4
网络层	讨论	多个网络互连的问题	5
局域网	属于	数据链路层的范围	6
点对点协议PPP	在	点对点信道上最常用	7
无线局域网	讨论将在	第9章中进行	8
数据链路层	关注	封装成帧、透明传输和差错检测	9
以太网MAC层	有	硬件地址	10
适配器、转发器、集线器、网桥、以太网交换机	有	各自的作用以及使用场合	11
主机H1向H2发送数据	经过	三个路由器	12
路由器	在转发分组时使用的协议栈只有	下面的三层	13
数据从主机H1传送到主机H2	需要在	路径中的各节点的协议栈向上和向下流动多次	14
数据链路层的问题	可以只关心	协议栈中水平方向的各数据链路层	15
通信	可以看成由	四段不同的链路层通信组成	16
这四段不同的链路层	可能采用	不同的数据链路层协议	17
数据链路层	重点讨论	使用点对点信道的一些基本问题	18
某些概念	也适用	于广播信道	19
数据链路层	要解决	封装成帧的问题	20
数据链路层	要解决	透明传输的问题	21
数据链路层	要解决	差错检测的问题	22
适配器	用于	数据链路层	23
转发器	用于	数据链路层	24
集线器	用于	数据链路层	25
网桥	用于	数据链路层	26
以太网交换机	用于	数据链路层	27
数据链路层	负责	在同一个局域网中分组从一台主机传送到另一台主机	28
路由器	负责	分组从一个网络通过路由器转发到另一个网络	29
数据链路层	可以想象数据	在数据链路层从左向右沿水平方向传送	30
数据链路层	包含	适配器、转发器、集线器、网桥、以太网交换机	31
适配器	连接	主机和数据链路层	32
转发器	用于	扩展点对点信道	33
集线器	用于	连接多个网络设备	34
网桥	用于	在局域网中转发数据帧	35
以太网交换机	用于	提高局域网的数据传输效率	36
CSMA/CD协议	用于	广播信道	37
PPP协议	用于	点对点信道	38
