subject	predicate	object	source_row
域名服务器	下载	名字和地址的全部数据库	0
域名服务器	维护	存放自己最近使用的域名的高速缓存	1
主机	定期检查	域名服务器以获取新的映射信息	2
主机	必须从缓存中删掉	无效的项	3
文件传送协议FTP	曾是	互联网上使用得最广泛的文件传送协议	4
FTP	提供	交互式访问	5
FTP	允许	客户指明文件的类型与格式	6
FTP	允许	文件具有存取权限	7
FTP	屏蔽了	各计算机系统的细节	8
FTP	适合于	异构网络中任意计算机之间传送文件	9
FTP	在互联网发展的早期阶段	通信量约占整个互联网通信量的三分之一	10
WWW	在1995年	通信量首次超过了FTP	11
FTP	基于	TCP	12
简单文件传送协议TFTP	基于	UDP	13
文件共享协议	分为	复制整个文件和联机访问两大类	14
网络文件系统NFS	属于	文件共享协议	15
NFS	允许	本地计算机共享远地的资源	16
NFS	主要应用在	TCP/IP网络上	17
NFS	也可在	OS/2, MS-Windows, NetWare等操作系统上运行	18
FTP服务器进程	由	主进程和从属进程两大部分组成	19
FTP主进程	负责	接受新的请求	20
FTP从属进程	负责	处理单个请求	21
FTP	使用	客户服务器方式	22
FTP客户和服务器之间	建立	两个并行的TCP连接	23
FTP	使用	控制连接和数据连接	24
TFTP	使用	UDP数据报	25
TFTP	需要	自己的差错改正措施	26
TFTP	支持	ASCII码或二进制传送	27
TFTP	可对文件进行	读或写	28
TFTP	使用	很简单的首部	29
TFTP	工作类似	停止等待协议	30
TELNET	是一个	远程终端协议	31
