subject	predicate	object	source_row
移动站	可能处于	待机状态或省电状态	0
移动站	在	MAC帧中的功率管理字段置为0时表示活跃状态	1
移动站	在	MAC帧中的功率管理字段置为1后进入待机状态	2
接入点AP	总是处于	活跃状态	3
接入点AP	保存	处于待机状态的移动站的名单	4
AP	周期性地向周围的移动站发送	信标帧	5
移动站	必须设置	一个计时器以便在AP即将发送信标帧时被唤醒	6
信标帧	包含	被缓存在AP中的节节点列表	7
WEP字段	占	1位	8
WEP字段	若置为1表示	MAC帧的帧主体字段采用了加密算法	9
WEP加密算法	存在	安全漏洞	10
IEEE 802.11i	努力解决	无线局域网的安全问题	11
Wi-Fi联盟	在2002年制定	符合802.11i功能的加密方式WPA	12
WPA 2	在2004年制定并增加了支持	AES加密算法	13
WPA 2	符合	IEEE 802.11i-2004的安全功能	14
无线个人区域网WPAN	定义为	在个人工作的地方把属于个人使用的电子设备用无线技术连接起来自组网络	15
WPAN	可以是	一个人使用也可以是若干人共同使用	16
WPAN	与	个人区域网PAN不完全相同	17
WPAN	是	低功率、小范围、低速率和低价格的电缆替代技术	18
WPAN	工作在	2.4 GHz的ISM频段	19
蓝牙系统	最早由	爱立信公司在1994年推出	20
蓝牙技术	由	蓝牙技术联盟负责维护和更新技术标准	21
蓝牙4.0	增加了	低耗能蓝牙BLE	22
BLE	适用于	数据量很小的节点	23
蓝牙4.0	传统蓝牙的数据率提高到	3 Mbit/s	24
蓝牙5.0	数据率上限达	24 Mbit/s	25
蓝牙5.0	有效传输距离最高可达	300m	26
蓝牙技术	使用	TDM方式和跳频扩频FHSS技术	27
皮可网	由	一个主设备和最多7个工作的从设备组成	28
扩散网	由	多个皮可网链接起来形成	29
低速WPAN	主要用于	工业监控组网、办公自动化与控制等领域	30
低速WPAN	速率为	2~250 kbit/s	31
ZigBee	是	低速WPAN中最重要的技术	32
ZigBee	基于	IEEE 802.15.4标准	33
ZigBee节点	非常省电	电池工作时间可长达6个月到2年左右	34
ZigBee网络	最多包括	255个节点	35
ZigBee节点	按功能划分为	全功能设备FFD和精简功能设备RFD	36
高速WPAN	标准为	IEEE 802.15.3	37
高速WPAN	支持	11~55 Mbit/s的数据率	38
超高速WPAN	使用	超宽带UWB技术	39
UWB技术	工作在	3.1~10.6 GHz微波频段	40
UWB技术	可支持	100~400 Mbit/s的数据率	41
