subject	predicate	object	source_row
无线蜂窝电话通信技术	得到	飞速发展	0
移动电话数	超过	固定电话数	1
全世界移动电话的普及率	达到	96.8%	2
中国的移动电话用户	超过	15.9亿户	3
固定电话的用户数	是	1.88亿户	4
无线网络和移动网络的数据链路层	与传统的	有线互联网的数据链路层相差很大	5
本章	讨论	无线局域网WLAN	6
无线局域网MAC层协议	重点讨论	载波监听多点接入／碰撞避免CSMA/CA的原理	7
蜂窝移动通信网	已演进到	全部使用IP技术	8
智能手机	变成	计算机网络上的主机	9
无线局域网	提供了	移动接入的功能	10
无线局域网	节省	投资	11
无线局域网	加快	建网速度	12
无线局域网	称为	WLAN	13
便携站	与	移动站表示的意思不一样	14
移动站	能够	在移动过程中进行通信	15
无线局域网	分为	有基础设施的和无基础设施的两大类	16
IEEE 802.11	是	无线局域网协议	17
中国WLAN国家标准	采用	ISO/IEC 8802-11系列国际标准	18
无线局域网的中心	称为	接入点AP	19
接入点AP	也称为	无线接入点WAP	20
无线局域网的接入点AP	连接到	有线以太网	21
家庭使用的无线局域网接入点AP	嵌入了	IP层的路由器功能	22
802.11无线局域网	常称为	Wi-Fi	23
Wi-Fi	是非营利性国际组织	Wi-Fi联盟的一个标记	24
基本服务集BSS	包括	一个接入点和若干个移动站	25
基本服务区BSA	是指	一个基本服务集BSS所覆盖的地理范围	26
无线局域网的基本服务区BSA	范围直径一般不超过	100米	27
链路层设备	的唯一标志是	MAC地址	28
SSID	是	无线局域网的名字	29
SSID	使用	字串而不是二进制数字	30
无线局域网	使用的频段是	2.4 GHz和5 GHz频段	31
802.11b标准	定义了	11个部分重叠的信道集	32
信道1、6和11	是	唯一的三个非重叠信道的集合	33
基本服务集	可以是	孤立的单个服务集	34
基本服务集	也可以通过接入点AP连接到	分配系统DS	35
扩展服务集ESS	有标识符	扩展服务集标识符ESSID	36
分配系统DS	的作用是使	扩展的服务集ESS对上层的表现就像一个基本服务集BSS一样	37
扩展服务集ESS	还可为无线用户提	供到802.x局域网的接入	38
蜂窝移动通信网	属于	通信领域的内容	39
无线局域网	使用	CSMA/CA协议	41
CSMA/CA	表示	载波监听多点接入／碰撞避免	42
802.11系列标准	称为	Wi-Fi	43
Wi-Fi联盟	是一个	非营利性国际组织	44
Wi-Fi	表示	通过Wi-Fi联盟认证的产品	45
移动自组网络	是	无线局域网的另一类	47
移动自组网络	没有	固定基础设施	48
移动自组网络	由	一些处于平等状态的移动站相互通信组成	49
无线传感器网络WSN	是	无线传感节点通过无线通信技术构成的自组网络	50
物联网IoT	主要应用领域是	组成各种无线传感器网络	51
802.11标准	设计了	独特的MAC层	52
802.11的MAC层	包括	分布协调功能DCF和点协调功能PCF两子层	53
分布协调功能DCF	向	上提供争用服务	54
DCF	采用	CSMA机制的分布式接入算法	55
点协调功能PCF	是	选项	56
PCF	用	接入点AP集控制整个BSS内的活动	57
PCF	使用	集中控制的接入算法	58
C SMA/CA协议	定义	数据和命令应怎样通过互联网	59
NVT	是	网络虚拟终端	60
C SMA/CA协议	要求	发送前先检测信道	61
C SMA/CA协议	要求	边发送边检测信道	62
C SMA/CA协议	规定	一旦检测到碰撞就立即停止发送	63
C SMA/CA协议	执行	退避算法进行重传	64
802.11局域网	使用	C SMA/CA协议	65
802.11局域网	还使用	停止等待协议	66
链路层确认	是	解决碰撞后重传的手段	67
虚拟载波监听	是	用软件实现的机制	68
载波监听	用	硬件实现	69
DIFS	定义为	比SIFS更长的时间间隔	70
DIFS	规定	等待时间后才能发送	71
争用窗口CW	由	许多时隙组成	72
退避算法	规定	在争用窗口执行	73
退避计时器	设置	在0~ cw个时隙中随机生成一退避时隙数	74
802.11标准	并未规定	争用窗口CW的初始值	75
802.11标准	建议	CW最小值为15	76
802.11标准	建议	CW最大值为1023	77
RTS	是	请求发送控制帧	78
CTS	是	允许发送控制帧	79
802.11数据帧	由	MAC首部、帧主体和帧检验序列FCS组成	80
MAC首部	包括	帧控制、地址、序号控制和持续期字段	81
帧控制字段	共分为	11个子字段	82
WEP	表明	对MAC帧的帧主体字段采用了加密算法	83
WPA	是	符合802.11i功能的加密方式	84
WPA2	增加了支持	AES加密算法	85
WPA2	符合	IEEE 802.11i-2004的安全功能	86
无线个人区域网WPAN	是	在个人工作的地方把属千个人使用的电子设备用无线技术连接起来自组网络	87
WPAN	可以是	一个人使用	88
WPAN	也可以是	若干人共同使用	89
蓝牙系统	是	最早使用的WPAN	90
