subject	predicate	object	source_row
流式音频/视频	是	用户使用互联网和其他人进行实时交互式通信的一种类型	0
流式音频/视频	不涉及	将内容存储在硬盘上	1
流式音频/视频	允许	用户在屏幕上观看播放的内容	2
流式音频/视频	不允许	用户修改节目内容	3
流式音频/视频	不允许	用户存储播放的内容	4
流式音频/视频	不允许	用户转发播放的内容	5
流媒体	主要特点	不是全部都收录下来再开始播放	6
流式存储音频/视频	表明	流式音频/视频文件不是实时产生的	7
流式存储音频/视频	通常存储在	光盘或硬盘中	8
传统浏览器下载音频/视频文件	使用	HTTP协议	9
HTTP协议	使用	TCP连接	10
服务器	响应	HTTP请求下载的报文	11
媒体播放器	具有功能	管理用户界面、解压缩、消除时延抖动和处理传输带来的差错	12
万维网服务器	增加	元文件	13
元文件	描述或指明	其他文件的一些重要信息	14
元文件	保存	有关音频/视频文件的信息	15
媒体播放器	使用	元文件中的URL	16
媒体服务器	专门设计为	播放流式音频/视频文件	17
媒体服务器	也称为	流式服务器	18
媒体播放器	向	媒体服务器请求音频/视频文件	19
媒体服务器和媒体播放器	采用	另外的协议进行交互	20
传送音频/视频文件	可以使用	TCP	21
传送音频/视频文件	可以使用	UDP	22
TCP	适用于	流式存储音频/视频的播放	23
UDP	适用于	实况转播	24
UDP传送流式多媒体文件	可能需要	使用RTP和RTSP	25
RTSP	称为	实时流式协议	26
RTSP	由	IETF的MMUSIC工作组开发	27
RTSP	不传送	数据	28
RTSP	使	媒体播放器能够控制多媒体流的传送	29
RTSP	又称为	带外协议	30
RTSP	以	客户-服务器方式工作	31
RTSP	是一个	应用层的多媒体播放控制协议	32
RTSP	允许	用户在播放从互联网下载的实时数据时能够进行控制	33
RTSP	又称为	互联网录像机遥控协议	34
RTSP	记录	客户机所处的状态	35
RTSP控制分组	可以在	TCP上传送	36
RTSP控制分组	可以在	UDP上传送	37
IP电话	是	在互联网上传送多媒体信息的一个例子	38
IP电话	有	多个英文同义词	39
IP电话	含义有	不同的解释	40
IP电话网关	用于	在IP网络上打电话	41
IP电话	可以是	在IP网络上进行交互式多媒体实时通信	42
IP电话	包括	即时传信IM	43
即时传信	允许	在网上即时交换信息	44
IP电话	是	话音、视像、数据综合的基础结构	45
IP电话	在某些条件下	话音质量甚至优于普通电话	46
IP电话	早在	20世纪70年代初期就开始研究	47
IP电话发展	受到限制主要是因为	缺少廉价的高质量、低速率的话音信号编解码软件和相应的芯片	48
IP电话发展	受到限制主要是因为	计算机网络的传输速率和路由器处理速率均不够快	49
IP电话发展	受到限制主要是因为	没有保证实时通信服务质量QoS的网络协议	50
IP电话发展	受到限制主要是因为	计算机网络的规模较小	51
YouTube	是	全球最大的视频网站	52
Netflix	是	世界上最大的在线影片租赁提供商	53
UDP	可能被	很多单位的防火墙阻拦	54
TCP	适用于	YouTube和Netflix等流媒体服务	55
RTSP	允许	媒体播放器控制多媒体流的传送	56
RTSP	与	HTTP协议的语法和操作相似	57
RTSP	是有状态的协议	与HTTP不同	58
流式媒体播放器	使得	网民们不需要再随身携带刻录有视频节目的光盘	59
光盘销售商店	受到	流式媒体的冲击	60
IP电话	可以	在IP网络上进行交互式多媒体实时通信	61
IP电话	包括	话音、视像等	62
即时传信	允许	网上即时交换信息	63
即时传信应用程序	流行的有	微信、Skype、QQ和MSN Messenger	64
IP电话	在	某些条件下话音质量甚至优于普通电话	66
