subject	predicate	object	source_row
传输差错	包括	帧丢失、帧重复或帧失序	0
帧丢失	指	收到[#1]-[#3]（丢失[#2]）	1
帧重复	指	收到[#1]-[#2]-[#2]-[#3]（收到两个[#2]）	2
帧失序	指	收到[#1]-[#3]-[#2]（后发送的帧反而先到达了接收端）	3
传输差错	不包括	比特差错	4
数据链路层	使用	CRC检验	5
可靠传输	要求	数据链路层向网络层提供可靠传输	6
通信线路质量	提高后	差错概率降低	7
互联网	采取	区别对待的方法	8
有线传输链路	不使用	确认和重传机制	9
无线传输链路	使用	确认和重传机制	10
点对点协议PPP	是	用户计算机和ISP进行通信时所使用的数据链路层协议	11
PPP协议	由	IETF在1992年制定	12
PPP协议	满足	简单、封装成帧、透明性、多种网络层协议、多种类型链路、差错检测、检测连接状态、最大传送单元、网络层地址协商、数据压缩协商等需求	13
PPP协议	不提供	比IP协议更多的功能	14
PPP协议	保证	数据传输的透明性	15
PPP协议	支持	多种网络层协议如IP和IPX	16
PPP协议	支持	多种类型的链路	17
PPPoE	是	PPP协议能够适应多种类类型链路的典型例子	18
PPPoE	用于	宽带上网的主机使用的链路层协议	19
PPP协议	能够	对接收端收到的帧进行检测并立即丢弃有差错的帧	20
PPP协议	具有	自动检测链路是否处于正常工作状态的机制	21
PPP协议	设置	最大传送单元MTU的标准默认值	22
PPP协议	提供	网络层地址协商机制	23
PPP协议	提供	数据压缩算法协商方法	24
PPP协议	不支持	多点线路	25
PPP协议	支持	全双工链路	26
PPP协议	由	三个部分组成：封装方法、链路控制协议LCP、网络控制协议NCP	27
PPP帧	由	首部、信息字段和尾部组成	28
PPP首部	包含	标志字段F、地址字段A、控制字段C和协议字段	29
标志字段F	规定为	Ox7E	30
地址字段A	规定为	OxFF	31
控制字段C	规定为	Ox03	32
PPP协议	使用	字节填充方法	33
PPP协议	使用	零比特填充方法	34
PPP协议	在	SONET/SDH链路使用同步传输	35
PPP协议	在	异步传输时使用转义符Ox7D	36
PPP协议	在	建立链路层的LCP连接后进入鉴别状态	37
PPP协议	在	鉴别成功后进入网络层协议状态	38
PPP协议	在	网络层配置完毕后进入链路打开状态	39
PPP协议	在	数据传输结束后通过终止请求LCP分组请求终止链路连接	40
PPP协议	在	调制解调器的载波停止后回到链路静止状态	41
PPP协议	包含	物理层和网络层的内容	42
PPP协议	使用	IP控制协议IPCP	43
PPP协议	允许	双方协商使用压缩的TCP和IP首部	44
PPP协议	通过	NCP分配临时IP地址	45
PPP协议	在	链路静止状态时用户个人电脑和ISP的路由器之间不存在物理层的连接	46
PPP协议	在	链路建立状态时建立链路层的LCP连接	47
PPP协议	在	鉴别状态时只允许传送LCP协议的分组、鉴别协议的分组以及监测链路质量的分组	48
PPP协议	在	网络层协议状态时NCP根据网络层的不同协议互相交换网络层特定的网络控制分组	49
PPP协议	在	链路打开状态时PPP端点可以彼此向对方发送分组	50
PPP协议	在	链路终止状态时释放数据链路层连接	51
