subject	predicate	object	source_row
用户数据报协议UDP	只在	IP的数据报服务之上增加了很少一点的功能	0
UDP的功能	包括	复用和分用的功能以及差错检测的功能	1
UDP	是	无连接的	2
UDP	使用	尽最大努力交付	3
UDP	不保证	可靠交付	4
UDP	是	面向报文的	5
UDP	没有	拥塞控制	6
UDP	支持	一对一、一对多、多对一和多对多的交互通信	7
UDP的首部开销	是	8个字节	8
UDP	用于	需要对UDP的不可靠的传输进行适当的改进的应用	9
UDP	适用于	实时应用	10
UDP	适用于	IP电话、实时视频会议等	11
UDP	允许	在网络发生拥塞时丢失一些数据	12
UDP	不允许	数据有太大的时延	13
UDP	支持	多对一的通信	14
UDP	支持	一对多的通信	15
UDP	支持	一对一的通信	16
UDP	支持	多对多的通信	17
UDP	适用于	需要简单方便但不可靠的通信的情况	18
UDP	适用于	不需要建立连接的通信	19
UDP	适用于	发送数据前不需要建立连接的情况	20
UDP	适用于	发送数据结束后没有连接可释放的情况	21
UDP	不提供	复杂的连接状态表	22
UDP	不保证	报文都能按照发送的先后顺序到达终点	23
UDP	不保证	报文不丢失	24
UDP	不保证	报文不重复	25
UDP	提供	简单的差错检测功能	26
UDP	通过	检验和检测UDP用户数据报在传输中是否有错	27
UDP	如果检验和检测到错误则	丢弃该报文	28
UDP	使用	伪首部来计算检验和	29
伪首部	不是	UDP用户数据报真正的首部	30
伪首部	仅用于	计算检验和	31
UDP	在	源端口号和目的端口号以及UDP用户数据报的数据部分进行检查	32
UDP	不检查	IP数据报的源IP地址和目的地址	33
UDP	适用于	需要快速处理的应用	34
UDP	适用于	不需要复杂连接状态的应用	35
UDP	适用于	不需要维持连接状态的应用	36
UDP	适用于	不需要全双工通信的应用	37
UDP	适用于	面向报文的传输	38
UDP	适用于	不需要字节流的服务	39
UDP	适用于	不需要顺序传输的服务	40
UDP	适用于	不需要可靠传输的服务	41
UDP	适用于	不需要流量控制的服务	42
UDP	适用于	不需要拥塞控制的服务	43
UDP	适用于	不需要端到端的可靠传输	44
