subject	predicate	object	source_row
DHCP客户	从	DHCP服务器中选择一个进行通信	0
DHCP客户	发送	DHCP请求报文	1
DHCP服务器	发送	DHCPACK确认报文	2
DHCP客户	使用	IP地址	3
DHCP客户	设置	租用期T的计时器T1和T2	4
DHCP客户	发送	DHCPREQUEST请求报文	5
DHCP服务器	发回	DHCPACK确认报文	6
DHCP服务器	发回	DHCPNACK否认报文	7
DHCP客户	必须	停止使用原来的IP地址	8
DHCP客户	重新发送	DHCPREQUEST请求报文	9
DHCP客户	可以随时提前终止	租用期	10
DHCP客户	发送	DHCPRELEASE释放报文	11
DHCP	适合	经常移动位置的计算机	12
网络管理	包括	对硬件、软件和人力的使用、综合与协调	13
网络管理	满足	网络需求如实时运行性能、服务质量等	14
管理站	又称为	管理器	15
管理站	由	网络管理员直接操作和控制	16
管理程序	运行时成为	管理进程	17
被管设备	可以是	主机、路由器、打印机、集线器、网桥或调制解调器等	18
被管对象	可以是	被管设备中的某个硬件或软件配置参数的集合	19
代理程序	运行	SNMP服务器程序	20
简单网络管理协议SNMP	按	客户服务器方式工作	21
SNMP	包括	监视网络性能、检测分析网络差错和配置网络设备等功能	22
SNMP v3	改进了	安全特性	23
委托代理	提供	协议转换和过滤操作等功能	24
SNMP	由	SNMP本身、SMI和管理信息库MIB三部分组成	25
SMI	定义了	命名对象和定义对象类型的通用规则	26
MIB	在被管理的实体中创建了命名对象并规定了其类型		27
SNMP	负责	读取和改变MIB中对象的数值	28
对象命名树	由	SMI规定所有被管对象必须处在其上	29
管理信息结构SMI	是	SNMP的重要组成部分	30
SMI	使用	ASN.1制定的基本编码规则BER进行数据编码	31
管理信息库MIB	是	被管对象的集合	32
SNMP	允许	不经过询问就能发送某些信息，称为陷阱	33
SNMP	使用	无连接的UDP	34
SNMP报文	使用	标准ASN.1编码	35
SNMP	定义了	8种类型的协议数据单元	36
SNMP报文	由	版本、首部、安全参数和SNMP报文的数据部分组成	37
SNMP	允许	管理者从代理读取一个或一组变量的值	38
SNMP	允许	管理者对代理的一个或多个MIB变量的值进行设置	39
SNMP	使用	熟知端口161来接收Get或Set报文和发送响应报文	40
SNMP	使用	熟知端口162来接收来自各代理的trap报文	41
SNMP	通过	探询操作实现管理功能	42
SNMP	采用	周期性探询以维持对网络资源的实时监视	43
SNMP	允许	代理检测到有事件发生时发送陷阱信息	44
SNMP	允许	管理者从代理读取MIB树的下一个变量的值	45
SNMP	允许	管理者从另一远程管理者读取该管理者控制的代理中的变量值	46
SNMP	允许	代理向管理者报告代理中发生的异常事件	47
SNMP	在	管理者之间报告某些类型的差错	48
SNMP	使用	隐式标记IMPLICIT简化编码	49
SNMP	允许	管理者从代理读取大数据块的值	52
SNMP	允许	管理者之间报告某些类型的差错	55
SNMP	使用	UDP协议传输	56
SNMP	使用	熟知端口161和162	57
SNMP	允许	管理者从代理读取变量的值	58
SNMP	允许	管理者设置代理中变量的值	59
SNMP	允许	代理向管理者发送trap报文	60
SNMP	使用	ASN.1编码报文	61
SNMP	使用	UDP作为传输层协议	62
SNMP	允许	管理者和代理之间进行Get和Set操作	63
SNMP	允许	管理者和代理之间进行GetBulk操作	64
SNMP	允许	管理者和代理之间进行Inform和SNMPv2Trap操作	65
