subject	predicate	object	source_row
系统安全	包括	防火墙与入侵检测	0
用户入侵	包括	利用系统漏洞进行未授权登录	1
用户入侵	包括	授权用户非法获取更高级别权限	2
软件入侵方式	包括	通过网络传播病毒、蠕虫和特洛伊木马	3
软件入侵方式	包括	阻止合法用户正常使用服务的拒绝服务攻击	4
防火墙	作为	访问控制技术	5
防火墙	通过	严格控制进出网络边界的分组	6
防火墙	减少	潜在入侵的发生	7
防火墙	降低	安全风险	8
防火墙	是	特殊编程的路由器	9
防火墙	安装在	网点和网络的其余部分之间	10
防火墙	实施	访问控制策略	11
防火墙	位于	互联网和内部网络之间	12
防火墙	把里面的网络称为	可信的网络	13
防火墙	把外面的网络称为	不可信的网络	14
防火墙技术	分为	分组过滤路由器和应用网关	15
分组过滤路由器	根据	过滤规则对进出内部网络的分组执行转发或者丢弃	16
过滤规则	基于	分组的网络层或运输层首部的信息	17
分组过滤	可以是	无状态的	18
分组过滤	可以是	有状态的	19
应用网关	也称为	代理服务器	20
应用网关	在	应用层通信中扮演报文中继的角色	21
入侵检测系统IDS	通过对进入网络的分组进行深度分析与检测发现	疑似入侵行为的网络活动	22
入侵检测系统IDS	进行	报警以便进一步采取相应措施	23
入侵检测方法	可以分为	基于特征的入侵检测和基于异常的入侵检测	24
基于特征的IDS	维护	所有已知攻击标志性特征的数据库	25
基于异常的IDS	通过	观察正常运行的网络流量学习正常流量的统计特性和规律	26
入侵检测系统	用于	检测多种网络攻击	27
入侵检测系统	存在	漏报和误报情况	28
椭圆曲线密码ECC	已在	TLS 1.3的握手协议中占据非常重要地位	29
椭圆曲线密码ECC	在	电子护照和金融系统中大量使用	30
量子密码	使得	目前许多使用中的密码技术无效	31
量子密码	导致	后量子密码学的研究方兴未艾	32
标识密码	把	用户标识作为公钥	33
标识密码	使得	安全系统变得易于部署和管理	34
商密九号算法SM9	是	标识密码算法	35
商密九号算法SM9	不需要	申请数字证书	36
商密九号算法SM9	适用于	互联网应用的各种新兴应用的安全保障	37
计算机网络上的通信威胁	可分为	被动攻击和主动攻击	38
主动攻击的类型	包括	更改报文流、拒绝服务、伪造初始化、恶意程序等	39
计算机网络安全	包括	机密性、端点鉴别、信息的完整性、运行的安全性	40
