subject	predicate	object	source_row
计算机网络	面临的	安全问题日趋严重	0
网络中存储和传输的数据	需要	保护	1
计算机网络安全	是	另一门专业学科	2
本章	主要介绍	计算机网络安全问题的基本内容	3
计算机网络	面临的	安全性威胁和计算机网络安全的主要问题	4
计算机网络安全	涉及	对称密钥密码体制和公钥密码体制的特点	5
计算机网络安全	包括	鉴别、报文鉴别码、数字签名、证书、证书链的概念	6
计算机网络安全	涵盖	网络层安全协议IPsec协议族和运输层安全协议TLS的要点	7
计算机网络安全	包含	应用层电子邮件的安全措施	8
系统安全	涉及	防火墙与入侵检测	9
计算机网络的通信	面临	两大类威胁	10
被动攻击	指	攻击者从网络上窃听他人的通信内容	11
被动攻击	通常称为	截获	12
被动攻击	包括	观察和分析协议数据单元PDU	13
流量分析	是	一种被动攻击	14
主动攻击	包括	篡改攻击	15
主动攻击	包括	恶意程序	16
恶意程序	对	网络安全威胁较大	17
篡改攻击	指	攻击者故意篡改网络上传送的报文	18
篡改攻击	也称为	更改报文流	19
IPsec	是	网络层安全协议	20
TLS	是	运输层安全协议	21
电子邮件安全措施	在	应用层	22
系统安全	包括	防火墙	23
系统安全	包括	入侵检测	24
网络的安全问题	需要	保护网络中存储和传输的数据	25
网络的安全问题	涉及	大量的用户来自社会各个阶层与部门	26
网络的安全问题	需要	初步的介绍	27
网络的安全问题	涉及	数据加密模型	28
网络的安全问题	包括	被动攻击和主动攻击	29
被动攻击	通过	观察PDU的协议控制信息部分了解正在通信的协议实体的地址和身份	30
被动攻击	通过	研究PDU的长度和传输的频度了解所交换的数据的某种性质	31
主动攻击	包括	中断传送的报文	32
主动攻击	包括	把完全伪造的报文传送给接收方	33
恶意程序	包括	多种类型	34
恶意程序	对	网络安全构成较大威胁	35
