subject	predicate	object	source_row
网络安全	随着	计算机网络的发展而日趋严重	0
网络安全	需要	保护网络中存储和传输的数据	1
计算机网络安全	是	另一门专业学科	2
本章	介绍	计算机网络安全问题的基本内容	3
计算机网络面临的安全性威胁	包括	被动攻击和主动攻击	4
被动攻击	指	攻击者从网络上窃听他人的通信内容	5
被动攻击	又称为	流量分析	6
主动攻击	包括	篡改攻击	7
主动攻击	包括	恶意程序	8
恶意程序	包括	计算机病毒	9
恶意程序	包括	计算机蠕虫	10
恶意程序	包括	特洛伊木马	11
恶意程序	包括	逻辑炸弹	12
恶意程序	包括	后门入侵	13
拒绝服务DoS	指	攻击者向服务器发送大量分组使其无法提供正常服务	14
分布式拒绝服务DDoS	指	从互联网上的成百上千个网站集中攻击一个网站	15
计算机网络通信安全的目标	包括	防止分析出报文内容和流量分析	16
计算机网络通信安全的目标	包括	防止恶意程序	17
计算机网络通信安全的目标	包括	检测更改报文流和拒绝服务	18
对付被动攻击	可采用	各种数据加密技术	19
对付主动攻击	需结合	适当的鉴别技术	20
安全的计算机网络	不可判定	网络的安全性	21
安全的计算机网络	主要采用	人工分析的方法来找漏洞	22
安全的计算机网络	应设法达到	机密性	23
安全的计算机网络	应设法达到	端点鉴别	24
安全的计算机网络	应设法达到	信息的完整性	25
安全的计算机网络	应设法达到	运行的安全性	26
访问控制	对	计算机系统的安全性非常重要	27
数据加密模型	包括	加密算法E	28
数据加密模型	包括	加密密钥K	29
数据加密模型	包括	解密算法D	30
密码编码学	是	密码体制的设计学	31
密码分析学	是	在未知密钥的情况下从密文推演出明文或密钥的技术	32
密码学	是	密码编码学与密码分析学的合称	33
无条件安全的密码体制	称为	理论上不可破的	34
在计算上安全的密码体制	指	不能在一定时间内被可以使用的计算资源破译	35
对称密钥密码体制	指	加密密钥与解密密钥都使用相同密钥的密码体制	36
DES	属于	对称密钥密码体制	37
DES	由	IBM公司研制出	38
DES	在	1977年被美国定为联邦信息标准	39
DES	是	一种分组密码	40
DES加密	使用	64位长的二进制数据	41
DES使用的密钥	占有	64位（实际密钥长度为56位，外加8位用于奇偶校验）	42
DES的机密性	取决于	对密钥的保密	43
DES的问题	是	它的密钥长度	44
三重DES	是	解决DES 56位密钥问题的一种方案	45
公钥密码体制	又称为	非对称密钥密码体制	46
公钥密码体制	由	斯坦福大学的研究人员Diffie与Hellman于1976年提出	47
公钥密码体制	包括	加密密钥PK和解密密钥SK	48
公钥密码体制	包括	加密算法E和解密算法D	49
公钥	是	向公众公开的	50
私钥	是	需要保密的	51
RSA体制	由	美国三位科学家Rivest, Shamir和Adleman于1976年提出	52
RSA体制	基于	数论中的大数分解问题	53
