subject	predicate	object	source_row
第4章	讨论	网络互连问题	0
网络层	提供	两种服务和两个层面	1
网络层	核心内容是	网际协议IP	2
掌握协议IP	能	理解互联网是怎样工作的	3
本章	讨论	网际控制报文协议ICMP	4
本章	讨论	几种常用的路由选择协议	5
本章	讨论	IPv6的主要特点	6
本章	讨论	IP多播的概念	7
本章	讨论	虚拟专用网VPN	8
本章	讨论	网络地址转换NAT	9
本章	简单介绍	多协议标签交换MPLS	10
本章	简单介绍	软件定义网络SDN	11
虚拟互联网络	是	本章最重要的内容之一	12
两种服务	是	本章最重要的内容之一	13
两个层面	是	本章最重要的内容之一	14
IP地址	与	MAC地址的关系	15
传统分类的IP地址	是	本章重点内容	16
无分类域间路由选择CIDR	是	本章重点内容	17
路由选择协议	的工作原理	是本章讨论的内容	18
网络层	向运输层提供	服务	19
网络层服务	包括	面向连接和无连接	20
可靠交付	应由	网络还是端系统负责	21
电信网	提供	电话服务	22
电信网	使用	昂贵的程控交换机	23
面向连接的通信方式	使	电信网络能够向用户提供可靠传输的服务	24
计算机网络	应模仿	打电话所使用的面向连接的通信方式	25
虚电路VC	是	逻辑上的连接	26
分组	沿着	虚电路按照存储转发方式传送	27
分组的首部	需要填写	虚电路的编号	28
互联网先驱者	提出	端到端可靠传输的服务	29
端到端可靠传输	适用于	传统电话业务	30
互联网	提供	端到端可靠传输的服务	31
虚电路	表示	这只是一条逻辑上的连接	32
电路交换的电话通信	是	先建立了一条真正的连接	33
分组交换的虚连接	和	电路交换的连接只是类似	34
MPLS	是	多协议标签交换	35
SDN	是	软件定义网络	36
VPN	是	虚拟专用网	37
NAT	是	网络地址转换	38
ICMP	是	网际控制报文协议	39
CIDR	是	无分类域间路由选择	40
IP多播	是	网络层讨论的概念之一	41
IP地址	与	MAC地址有特定的关系	42
传统分类的IP地址	被	CIDR所替代	43
路由选择协议	是	网络层的重要组成部分	44
面向连接的服务	需要	建立连接	45
无连接的服务	不需要	建立连接	46
虚电路服务	是	网络层提供的服务之一	47
分组交换	使用	虚电路	48
电路交换	建立	真正的物理连接	49
