subject	predicate	object	source_row
虚拟专用网VPN	利用	公用的互联网作为本机构各专用网之间的通信载体	0
虚拟专用网VPN	称为	专用网	1
虚拟专用网VPN	必须	通过加密保证数据安全	2
虚拟专用网VPN	需要	每一个场所购买专门的硬件和软件并进行配置	3
虚拟专用网VPN	使用	IP隧道技术	4
虚拟专用网VPN	又称为	内联网	5
内联网VPN	表示	场所A和B都属于同一个机构	6
外联网VPN	允许	外部机构参与	7
远程接入VPN	满足	流动员工在外地工作时与公司保持联系的需求	8
网络地址转换NAT	是在	1994年提出的	9
网络地址转换NAT	需要	在专用网连接到互联网的路由器上安装NAT软件	10
网络地址转换NAT	使	所有使用本地地址的主机在和外界通信时将其本地地址转换成全球IP地址	11
NAT路由器	至少有一个	有效的外部全球IP地址	12
NAPT	是	网络地址与端口号转换	13
NAPT	允许	多个拥有本地地址的主机共用NAT路由器上的一个全球IP地址	14
多协议标签交换MPLS	是	IETF于1997年成立的MPLS工作组开发的新协议	15
专用互联网	使用	本地地址	16
专用互联网	称为	本地互联网	17
专用互联网	称为	虚拟专用网VPN	18
虚拟专用网VPN	需要	为每一个场所购买专门的硬件和软件	19
虚拟专用网VPN	通过	公用互联网构成	20
虚拟专用网VPN	使得	不同网点之间的通信必须经过公用的互联网	21
虚拟专用网VPN	要求	所有通过互联网传送的数据都必须加密	22
虚拟专用网VPN	使得	机构内部的通信好像是在本部门的专用网上传送一样	23
网络地址转换NAT	允许	专用网内部的一些主机使用本地IP地址与互联网上的主机通信	24
网络地址转换NAT	使得	专用网内的主机可以使用有限数量的全球IP地址	25
网络地址转换NAT	要求	在专用网连接到互联网的路由器上安装NAT软件	26
网络地址转换NAT	允许	专用网内的主机轮流使用NAT路由器上的全球IP地址	27
多协议标签交换MPLS	允许	在上层可以承载多种协议	28
多协议标签交换MPLS	是	一种新的协议	29
虚拟专用网VPN	有时称为	外联网	30
虚拟专用网VPN	有时称为	内联网	31
虚拟专用网VPN	有时称为	远程接入VPN	32
网络地址转换NAT	使得	专用网内的主机不能直接充当服务器	33
网络地址转换NAT	使得	专用网内的主机可以共用一个全球IP地址	34
多协议标签交换MPLS	使得	数据包的转发更加高效	35
虚拟专用网VPN	允许	不同机构的主机进行安全的通信	36
网络地址转换NAT	允许	专用网内的主机使用本地IP地址访问互联网	38
网络地址转换NAT	要求	NAT路由器具有至少一个有效的外部全球IP地址	39
多协议标签交换MPLS	允许	在网络层之上实现数据包的快速转发	40
虚拟专用网VPN	使得	机构内部的通信更加安全	41
虚拟专用网VPN	允许	机构内部的计算机使用本地地址进行通信	42
网络地址转换NAT	使得	专用网内的主机可以使用有限数量的全球IP地址访问互联网	43
多协议标签交换MPLS	是	一种基于标签的转发机制	44
虚拟专用网VPN	允许	机构内部的计算机通过互联网进行安全的通信	45
网络地址转换NAT	使得	专用网内的主机可以共用一个全球IP地址与互联网上的不同主机进行通信	46
多协议标签交换MPLS	允许	在网络层之上实现数据包的快速和灵活的转发	47
