subject	predicate	object	source_row
计算机网络	具有	非性能特征	0
标准化	指	网络的硬件和软件的设计遵循通用的国际标准	1
可靠性	与	网络的质量和性能都有密切关系	2
可扩展性和可升级性	指	网络在构造时考虑未来可能需要扩展和升级	3
易管理和维护	指	网络如果没有良好的管理和维护，很难达到和保持所设计的性能	4
计算机网络体系结构	是	分层的体系结构	5
分层方法	用于	设计复杂的计算机网络	6
ARPANET	提出	分层的方法	7
IBM公司	宣布了	系统网络体系结构SNA	8
ISO	提出了	开放系统互连基本参考模型OSI/RM	9
OSI/RM	称为	七层协议的体系结构	10
TCP/IP	是	非国际标准的事实标准	11
网络协议	由	语法、语义和同步三个要素组成	12
协议	是	控制两个对等实体进行通信的规则的集合	13
分层	带来	各层之间独立、灵活性好、结构上可分割开、易于实现和维护、促进标准化工作的好处	14
OSI模型	有	七层协议	15
TCP/IP模型	是	四层的体系结构	16
五层协议体系结构	综合了	OSI和TCP/IP的优点	17
应用层	负责	应用进程间交互完成特定网络应用	18
运输层	提供	进程间通信的通用数据传输服务	19
网络层	负责	不同主机提供通信服务	20
数据链路层	负责	在相邻节点间传送数据	21
物理层	负责	在物理媒介上传送比特流	22
TCP/IP协议族	包括	TCP和IP两个协议	23
TCP	提供	面向连接的、可靠的数据传输服务	24
UDP	提供	无连接的尽最大努力的数据传输服务	25
IP协议	负责	在互联网中进行路由选择	26
实体	指	任何可发送或接收信息的硬件或软件进程	27
服务	是	由下层向上一层通过层间接口提供的	28
协议	是	控制对等实体间通信的规则	29
服务访问点SAP	是	逻辑接口	30
服务数据单元SDU	可以	与PDU不一样	31
协议栈	像	一个栈的结构	32
TCP/IP体系结构	有时	演变成为某些应用程序可以直接使用IP层或直接使用链路层	33
互联网	核心设计理念是	网络的核心部分越简单越好	34
客户-服务器工作方式	指	客户进程向服务器进程发出请求建立连接	35
服务	必须	能够被高一层实体‘看得见’	36
协议	必须	把所有不利的条件事先都估计到	37
OSI模型	把	层与层之间交换的数据单位称为服务数据单元SDU	38
TCP/IP协议族	表明	IP层可以支持多种运输层协议	39
IP协议	在	互联网中的核心作用	40
客户进程	向	服务器进程发出请求建立连接	41
服务器进程	可以	同时向几百个或更多的客户进程提供服务	42
