subject	predicate	object	source_row
电路交换	适合	话音通信	0
分组交换	适合	数据通信	1
铁道部	开始进行	计算机联网实验	2
我国第一个公用分组交换网	是	CNPAC	3
CNPAC	建成运行时间	1989年11月	4
局域网	对	各行各业的管理现代化和办公自动化起到积极作用	5
我国	正式连入	互联网	6
我国连入互联网的时间	是	1994年4月20日	7
中国第一个万维网服务器	设立于	中国科学院高能物理研究所	8
中国公用计算机互联网	正式启功于	1994年9月	9
CHINANET	是	中国电信互联网	10
UNINET	是	中国联通互联网	11
CMNET	是	中国移动互联网	12
CERNET	是	中国教育和科研计算机网	13
CSTNET	是	中国科学技术网	14
CERNET2试验网	正式开通于	2004年2月	15
CNNIC	每年两次公布	我国互联网的发展情况	16
CNNIC	把	过去半年内使用过互联网的6周岁及以上的中国居民称为网民	17
我国网民数量	达到	9.04亿	18
互联网普及率	达到	64.5%	19
手机网民规模	达到	8.97亿	20
农村网民	占	整体网民的28.2%	21
国际出口带宽	超过	8.8 Tbit/s	22
爱特信公司	创立者	张朝阳	23
搜狐公司	前身	爱特信公司	24
网易公司	创立者	丁磊	25
新浪网站	创立者	王志东	26
腾讯公司	创立者	马化腾、张志东	27
QQ	原名	OICQ	28
微信	研发领导者	张小龙	29
百度网站	创立者	李彦宏和徐勇	30
阿里巴巴网站	创立者	马云	31
淘宝网	创立者	马云	32
支付宝	创立者	阿里巴巴集团	33
