subject	predicate	object	source_row
计算机网络性能	指	几个重要的性能指标	0
计算机网络性能	包括	非性能特征	1
性能指标	度量	计算机网络性能	2
速率	指	数据的传送速率	3
速率	又称为	数据率	4
速率	也称为	比特率	5
速率	单位是	bit/s	6
带宽	指	信号具有的频带宽度	7
带宽	指	网络中某通道传送数据的能力	8
吞吐量	表示	单位时间内通过某个网络的实际数据量	9
吞吐量	受	网络带宽或网络额定速率的限制	10
时延	指	数据从网络一端传送到另一端所需的时间	11
发送时延	是	主机或路由器发送数据帧所需要的时间	12
传播时延	是	电磁波在信道中传播一定距离需要花费的时间	13
处理时延	产生于	主机或路由器在收到分组时要花费一定的时间进行处理	14
排队时延	产生于	分组在经过网络传输时在路由器的输入队列中排队等待处理	15
总时延	是	发送时延、传播时延、处理时延和排队时延之和	16
时延带宽积	是	传播时延和带宽的乘积	17
往返时间RTT	指	互联网上双向交互一次所需的时间	18
利用率	指	某信道有百分之几的时间是被利用的	19
计算机网络	具有	非性能特征	20
费用	与	网络的性能和价格密切相关	21
网络的质量	影响	网络的可靠性、网络管理的简易性以及网络的一些性能	22
标准化	指	网络的硬件和软件的设计遵循通用的国际标准	23
可靠性	与	网络的质量和性能都有密切关系	24
可扩展性和可升级性	指	网络在构造时考虑未来可能需要扩展和升级	25
易管理和维护	指	网络如果没有良好的管理和维护，很难达到和保持所设计的性能	26
计算机网络体系结构	是	分层的体系结构	27
分层方法	用于	设计复杂的计算机网络	28
激活通信通路	指	发出信令保证数据能在通路上正确发送和接收	29
识别接收数据的计算机	需要	网络知道如何识别	30
查明对方计算机状态	指	发起通信的计算机查明对方计算机是否已开机并且与网络连接正常	31
文件管理程序准备	指	对方计算机中的文件管理程序做好接收文件和存储文件的准备工作	32
格式转换功能	指	若计算机的文件格式不兼容，则至少其中一台计算机应完成格式转换	33
保证正确文件接收	需要	可靠的措施保证对方计算机最终能够收到正确的文件	34
网络节点	指	路由器或节点交换机	35
网络利用	导致	时延迅速增加	36
网络空闲时的时延	表示为	D。	37
网络当前的时延	表示为	D	38
网络利用率	用	U表示	39
时延与利用率的关系	可以用公式	D = D。/(1 - U)表示	40
网络利用率高达容量的1/2	导致	时延加倍	41
网络利用率接近最大值1	导致	网络产生的时延趋近于无穷大	42
控制信道利用率	不超过	50%	43
