subject	predicate	object	source_row
微信	是由	张小龙领导下成功研发的即时通信软件	0
微信	能够通过	互联网快速发送话音短信、视频、图片和文字	1
微信	支持	多人视频会议	2
微信	能在	各种不同操作系统的智能手机中运行	3
微信	已从	简单的社交工具演变成一个具有支付能力的全能钱包	4
百度网站	是由	李彦宏和徐勇创建的全球最大的中文搜索引擎	5
百度网站	可以用	主题分类的方法进行查找	6
阿里巴巴网站	是由	马云创建的企业对企业的网上贸易市场平台	7
淘宝网	是由	马云创立的个人网上贸易市场平台	8
支付宝	是由	阿里巴巴集团创立的第三方支付平台	9
支付宝	提供了	简单、安全、快速的在线支付手段	10
计算机网络	定义为	由一些通用的、可编程的硬件互连而成的网络	11
计算机网络	能够用来	传送多种不同类型的数据，并支持广泛的和日益增长的应用	12
计算机网络	所连接的硬件	不限于一般的计算机，而是包括了智能手机或智能电视机	13
计算机网络	并非专门用来	传送数据，而是能够支持很多种应用	14
计算机网络	起初用来	传送数据	15
计算机网络	随着技术发展	应用范围不断扩大，能够传送音频和视频文件	16
广域网WAN	是	计算机网络的一种，作用范围通常为几十到几千公里	17
广域网WAN	有时称为	远程网	18
广域网WAN	是	互联网的核心部分	19
城域网MAN	是	计算机网络的一种，作用范围一般是一个城市	20
城域网MAN	可跨越	几个街区甚至整个城市	21
城域网MAN	作用距离约为	5到50公里	22
局域网LAN	是	计算机网络的一种，一般用微型计算机或工作站通过高速通信线路相连	23
局域网LAN	地理上局限在	较小的范围，如1公里左右	24
个人区域网PAN	是	计算机网络的一种，属于个人使用的电子设备用无线技术连接起来的网络	25
个人区域网PAN	也称为	无线个人区域网WPAN	26
个人区域网PAN	范围	大约在10米左右	27
多处理机系统	是	中央处理机之间距离非常近的计算机网络	28
公用网	是指	电信公司出资建造的大型网络	29
公用网	也可称为	公众网	30
专用网	是	某个部门为满足本单位的特殊业务工作需要而建造的网络	31
接入网AN	是	用来把用户接入到互联网的网络	32
接入网AN	也称为	本地接入网或居民接入网	33
接入网AN	是	本地ISP所拥有的网络	34
接入网AN	起到	让用户能够与互联网连接的桥梁作用	35
