subject	predicate	object	source_row
段路由选择协议	简称为	SR	0
SR	基于	标签交换	1
SR	不需要使用	协议LDP	2
SR	由	源节点指定路径	3
SDN控制器	收集并掌握	全网的拓扑信息和链路状态信息	4
SDN控制器	负责	给分组分配SR标签	5
SRv6	是	SR向IPv6演进的版本	6
SRv6	利用	IPv6字段作为标签寻址	7
SR-MPLS	基于	MPLS	8
SDN	由	斯坦福大学N. McKeown于2009年首先提出	9
SDN	是一种	设计、构建和管理网络的新方法或新概念	10
SDN	把	网络的控制层面和数据层面分离	11
Ope nFlow	是	控制层面和数据层面之间的通信接口	12
Ope nFlow	使得	控制层面的控制器可以对数据层面中的物理设备或虚拟设备进行直接访问和操纵	13
Ope nFlow	由	开放网络基金会ONF负责制定	14
Ope nFlow	使得	匹配＋动作的转发方式在SDN中得到了扩充	15
SDN	广义转发中	匹配能够对不同层次的首部中的字段进行匹配	16
SDN	广义转发中	动作不仅是转发分组，而且可以把具有同样目的地址的分组从不同的接口转发出去	17
SDN	广义转发中	动作可以重写IP首部	18
SDN	广义转发中	动作可以人为地阻挡或丢弃一些分组	19
SDN	取代	传统转发表的是流表	20
流表	是	匹配＋动作的转发表	21
OpenFlow交换机	由	远程控制器管理	22
OpenFlow协议	用于	远程控制器通过安全信道管理OpenFlow交换机中的流表	23
OpenFlow	是	SDN远程控制器与网络设备之间的通信协议	24
OpenFlow	是	网络交换功能的逻辑结构的规约	25
流	定义为	穿过网络的一种分组序列	26
流	在序列中	分组共享分组首部某些字段的值	27
流表项	包括	首部字段值、计数器和动作	28
计数器	包括	已经与该表项匹配的分组数量	29
计数器	包括	从该表项上次更新到现在经历的时间	30
动作	例如	当分组匹配某个流表项时把分组转发到指明的端口	31
动作	例如	丢弃该分组	32
动作	例如	把分组进行复制后再从多个端口转发出去	33
动作	例如	重写分组的首部字段	34
