subject	predicate	object	source_row
远程终端协议	允许	应用进程打开远地文件	0
远程终端协议	允许	用户只复制大文件中的小片段	1
NFS	允许	计算机A中的NFS客户端发送数据和写数据请求到计算机B中的NFS服务器	2
NFS	使	用户在网络上传送少量的修改数据	3
TFTP	是	一个很小且易实现的文件传送协议	4
TFTP	使用	UDP数据报	5
TFTP	需要	自己的差错改正措施	6
TFTP	支持	文件传输	7
TFTP	不支持	交互	8
TFTP	没有	庞大的命令集	9
TFTP	没有	列目录的功能	10
TFTP	不能	对用户进行身份鉴别	11
TFTP	可用	在UDP环境中	12
TFTP	适用于	将程序或文件同时向许多机器下载	13
TFTP	占用	较小的内存	14
TFTP	适合	较小的计算机或特殊用途的设备	15
TFTP	允许	设备执行只读存储器中的代码	16
TFTP	支持	ASCII码或二进制传送	17
TFTP	允许	对文件进行读或写	18
TFTP	使用	很简单的首部	19
TFTP	工作类似	停止等待协议	20
TFTP	要求	确认时应指明所确认的块编号	21
TFTP	要求	在规定时间内收不到确认就要重发数据PDU	22
TFTP	要求	若在规定时间内收不到下一个文件块，也要重发确认PDU	23
TFTP	要求	客户进程发送一个读请求报文或写请求报文给TFTP服务器进程	24
TFTP	熟知	端口号码为69	25
TFTP	要求	在文件传送完毕后发送一个只含首部而无数据的数据报文	26
TELNET	允许	用户通过TCP连接注册到远地的另一台主机上	27
TELNET	能	将用户的击键传到远地主机	28
TELNET	能	将远地主机的输出通过TCP连接返回到用户屏幕	29
TELNET	称为	终端仿真协议	30
TELNET	使用	客户服务器方式	31
TELNET	适应	许多计算机和操作系统的差异	32
TELNET	定义	网络虚拟终端NVT	33
NVT	使用	7位ASCII码传送数据	34
NVT	使用	控制命令	35
NVT	定义	CR-LF为标准的行结束控制符	36
TELNET	允许	选项协商	37
万维网WWW	是	大规模的、联机式的信息储藏所	38
万维网WWW	使用	链接的方法从一个站点访问另一个站点	39
