subject	predicate	object	source_row
鉴别	是	网络安全中一个很重要的问题	0
鉴别	包括	实体鉴别和报文完整性鉴别	1
实体鉴别	指	验证通信的对方的确是自己所要通信的对象	2
报文完整性鉴别	指	对方所传送的报文没有被他人篡改过	3
鉴别	与	加密是不同的概念	4
鉴别	与	授权是不同的概念	5
数字签名	用于	进行鉴别	6
数字签名	具有	鉴别报文的功能	7
数字签名	保证	报文的完整性	8
数字签名	具有	不可否认的功能	9
密码散列函数	具有	单向性	10
密码散列函数	应具有	抗碰撞性	11
MD5	是	报文摘要算法	12
SHA-1	是	安全散列算法	13
SHA-1	被	SHA-2和SHA-3替代	14
SHA-2	包括	SHA224, SHA-256, SHA-384和SHA-512	15
SHA-3	采用	与SHA-2完全不同的散列函数	16
报文鉴别码	用于	实现报文鉴别	17
报文鉴别码MAC	是	数字签名或数字指纹	18
HMAC	是	计算MAC的一种方法	19
实体鉴别	只需	在系统接入的全部持续时间内对和自己通信的对方实体验证一次	20
重放攻击	是	一种攻击方式，通过重复发送截获的报文来欺骗接收者	21
不重数	用于	对付重放攻击	22
公钥密码体制	可以	对不重数进行签名鉴别	23
中间人攻击	是	一种攻击方式，攻击者截获并转发通信双方的信息	24
密钥分配	是	密钥管理中最大的问题	25
密钥分配中心KDC	负责	给需要进行秘密通信的用户临时分配一个会话密钥	26
密钥分配	需要	通过最安全的通路进行	27
密钥分配	可以	采用网内分配方式	28
对称密钥分配	存在	密钥数量问题	29
对称密钥分配	存在	安全传送密钥的问题	30
用户	需要	和密钥分配中心KDC进行通信的主密钥	31
报文鉴别	涉及	鉴别报文的发送者和报文的完整性	32
散列函数	应具有	固定长度的输出	33
散列函数	应具有	多对一的关系	34
散列函数	应具有	单向性	35
散列函数	应具有	输出与输入的每一个比特有关的特性	36
散列函数	应具有	哪怕仅改动输入的一个比特，输出也会相差极大的特性	37
MD5	被	王小云攻破	38
SHA-1	被	王小云教授的研究团队攻破	39
密钥分配	可以	采用网外分配方式	40
